d_A025,d_A026,d_A001,A025-001,A025-A026-008,A025-A026-007,A025-A026-014,A025-A026-012,A025-A026-011,A025-009,A025-002,A026-A009-001,A026-A009-002,A026-A009-005,A025-A026-027,A026-A089-001,A026-A089-002,A025-A026-006,A026-A009-006,A025-A026-010,A026-A001-003,A026-A001-001,A026-A001-002,A026-A001-004
0001-20090415-265-82-1-625,3,1,,,,,,,,,,,,,,,,,,account sub,40,大阪,部門
0001-20090415-265-82-1-625,4,,,,,,,,,,191,仮払消費税等,account,debit,40,ISO4217:JPY,2009-04-15,tax,,,,,
0001-20090415-265-82-1-625,4,1,,,,,,,,,,,,,,,,,,account sub,40,大阪,部門
0001-20090415-265-82-1-625,5,,,,,,,,,,152,売掛金,account,credit,840,ISO4217:JPY,2009-04-15,proposed,09年4月15日伝票No197高橋物産株式会社,,,,
0001-20090415-265-82-1-625,5,,,,,,,,,,,,,,,,,,,trading partner,9,高橋物産㈱,customer
0001-20090415-265-82-1-625,5,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090415-266-83-1-627,,,0001-20090415-266-83-1-627,entries,83-627,2008-08-19,manual,gj,General,266,,,,,,,,,,,,,
0001-20090415-266-83-1-627,1,,,,,,,,,,131,普通預金,account,debit,2819432,ISO4217:JPY,2009-04-15,proposed,09年4月15日伝票No198阿部商事株式会社,,,,
0001-20090415-266-83-1-627,1,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090415-266-83-1-627,1,2,,,,,,,,,,,,,,,,,,account sub,20,みずほ　本店,補助科目
0001-20090415-266-83-1-627,2,,,,,,,,,,152,売掛金,account,credit,2819432,ISO4217:JPY,2009-04-15,proposed,09年4月15日伝票No198阿部商事株式会社,,,,
0001-20090415-266-83-1-627,2,,,,,,,,,,,,,,,,,,,trading partner,13,阿部商事㈱,customer
0001-20090415-266-83-1-627,2,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090415-267-84-1-629,,,0001-20090415-267-84-1-629,entries,84-629,2008-08-19,manual,gj,General,267,,,,,,,,,,,,,
0001-20090415-267-84-1-629,1,,,,,,,,,,131,普通預金,account,debit,2268756,ISO4217:JPY,2009-04-15,proposed,09年4月15日伝票No199株式会社　久城商事,,,,
0001-20090415-267-84-1-629,1,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090415-267-84-1-629,1,2,,,,,,,,,,,,,,,,,,account sub,40,三菱東京　梅田,補助科目
0001-20090415-267-84-1-629,2,,,,,,,,,,152,売掛金,account,credit,2268756,ISO4217:JPY,2009-04-15,proposed,09年4月15日伝票No199株式会社　久城商事,,,,
0001-20090415-267-84-1-629,2,,,,,,,,,,,,,,,,,,,trading partner,20,㈱久城商事,customer
0001-20090415-267-84-1-629,2,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090415-267-84-1-629,3,,,,,,,,,,741,支払手数料,account,debit,600,ISO4217:JPY,2009-04-15,proposed,09年4月15日伝票No199株式会社　久城商事,,,,
0001-20090415-267-84-1-629,3,1,,,,,,,,,,,,,,,,,,account sub,40,大阪,部門
0001-20090415-267-84-1-629,4,,,,,,,,,,191,仮払消費税等,account,debit,30,ISO4217:JPY,2009-04-15,tax,,,,,
0001-20090415-267-84-1-629,4,1,,,,,,,,,,,,,,,,,,account sub,40,大阪,部門
0001-20090415-267-84-1-629,5,,,,,,,,,,152,売掛金,account,credit,630,ISO4217:JPY,2009-04-15,proposed,09年4月15日伝票No199株式会社　久城商事,,,,
0001-20090415-267-84-1-629,5,,,,,,,,,,,,,,,,,,,trading partner,20,㈱久城商事,customer
0001-20090415-267-84-1-629,5,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090415-268-85-1-631,,,0001-20090415-268-85-1-631,entries,85-631,2008-08-19,manual,gj,General,268,,,,,,,,,,,,,
0001-20090415-268-85-1-631,1,,,,,,,,,,312,買掛金,account,debit,3557473,ISO4217:JPY,2009-04-15,proposed,09年4月15日伝票No274株式会社　Y2,,,,
0001-20090415-268-85-1-631,1,,,,,,,,,,,,,,,,,,,trading partner,1,㈱Y2,vendor
0001-20090415-268-85-1-631,1,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090415-268-85-1-631,2,,,,,,,,,,131,普通預金,account,credit,3557473,ISO4217:JPY,2009-04-15,proposed,09年4月15日伝票No274株式会社　Y2,,,,
0001-20090415-268-85-1-631,2,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090415-268-85-1-631,2,2,,,,,,,,,,,,,,,,,,account sub,20,みずほ　本店,補助科目
0001-20090415-4-73-1-607,,,0001-20090415-4-73-1-607,entries,73-607,2008-08-19,manual,gj,General,4,,,,,,,,,,,,,
0001-20090415-4-73-1-607,1,,,,,,,,,,732,広告宣伝費,account,debit,30000,ISO4217:JPY,2009-04-15,proposed,広告費,,,,
0001-20090415-4-73-1-607,1,1,,,,,,,,,,,,,,,,,,account sub,10,札幌,部門
0001-20090415-4-73-1-607,2,,,,,,,,,,191,仮払消費税等,account,debit,1500,ISO4217:JPY,2009-04-15,tax,,,,,
0001-20090415-4-73-1-607,2,1,,,,,,,,,,,,,,,,,,account sub,10,札幌,部門
0001-20090415-4-73-1-607,3,,,,,,,,,,322,未払金,account,credit,31500,ISO4217:JPY,2009-04-15,proposed,広告費,,,,
0001-20090415-4-73-1-607,3,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090415-79-74-1-609,,,0001-20090415-79-74-1-609,entries,74-609,2008-08-19,manual,gj,General,79,,,,,,,,,,,,,
0001-20090415-79-74-1-609,1,,,,,,,,,,724,福利厚生費,account,debit,43312,ISO4217:JPY,2009-04-15,proposed,景品代,,,,
0001-20090415-79-74-1-609,1,1,,,,,,,,,,,,,,,,,,account sub,30,名古屋,部門
0001-20090415-79-74-1-609,2,,,,,,,,,,191,仮払消費税等,account,debit,2165,ISO4217:JPY,2009-04-15,tax,,,,,
0001-20090415-79-74-1-609,2,1,,,,,,,,,,,,,,,,,,account sub,30,名古屋,部門
0001-20090415-79-74-1-609,3,,,,,,,,,,111,現金,account,credit,45477,ISO4217:JPY,2009-04-15,proposed,景品代,,,,
0001-20090415-79-74-1-609,3,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090416-103-87-1-635,,,0001-20090416-103-87-1-635,entries,87-635,2008-08-19,manual,gj,General,103,,,,,,,,,,,,,
0001-20090416-103-87-1-635,1,,,,,,,,,,733,交際接待費,account,debit,2553,ISO4217:JPY,2009-04-16,proposed,コーヒー代5名,,,,
0001-20090416-103-87-1-635,1,1,,,,,,,,,,,,,,,,,,account sub,40,大阪,部門
0001-20090416-103-87-1-635,2,,,,,,,,,,191,仮払消費税等,account,debit,127,ISO4217:JPY,2009-04-16,tax,,,,,
0001-20090416-103-87-1-635,2,1,,,,,,,,,,,,,,,,,,account sub,40,大阪,部門
0001-20090416-103-87-1-635,3,,,,,,,,,,111,現金,account,credit,2680,ISO4217:JPY,2009-04-16,proposed,コーヒー代5名,,,,
0001-20090416-103-87-1-635,3,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090416-136-88-1-637,,,0001-20090416-136-88-1-637,entries,88-637,2008-08-19,manual,gj,General,136,,,,,,,,,,,,,
0001-20090416-136-88-1-637,1,,,,,,,,,,791,雑費,account,debit,15715,ISO4217:JPY,2009-04-16,proposed,ダスキン代,,,,
0001-20090416-136-88-1-637,1,1,,,,,,,,,,,,,,,,,,account sub,40,大阪,部門
0001-20090416-136-88-1-637,2,,,,,,,,,,191,仮払消費税等,account,debit,785,ISO4217:JPY,2009-04-16,tax,,,,,
0001-20090416-136-88-1-637,2,1,,,,,,,,,,,,,,,,,,account sub,40,大阪,部門
0001-20090416-136-88-1-637,3,,,,,,,,,,111,現金,account,credit,16500,ISO4217:JPY,2009-04-16,proposed,ダスキン代,,,,
0001-20090416-136-88-1-637,3,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090416-61-86-1-633,,,0001-20090416-61-86-1-633,entries,86-633,2008-08-19,manual,gj,General,61,,,,,,,,,,,,,
0001-20090416-61-86-1-633,1,,,,,,,,,,727,通信費,account,debit,161271,ISO4217:JPY,2009-04-16,proposed,電話代,,,,
0001-20090416-61-86-1-633,1,1,,,,,,,,,,,,,,,,,,account sub,20,東京,部門
0001-20090416-61-86-1-633,2,,,,,,,,,,191,仮払消費税等,account,debit,8063,ISO4217:JPY,2009-04-16,tax,,,,,
0001-20090416-61-86-1-633,2,1,,,,,,,,,,,,,,,,,,account sub,20,東京,部門
0001-20090416-61-86-1-633,3,,,,,,,,,,131,普通預金,account,credit,169334,ISO4217:JPY,2009-04-16,proposed,電話代,,,,
0001-20090416-61-86-1-633,3,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090416-61-86-1-633,3,2,,,,,,,,,,,,,,,,,,account sub,20,みずほ　本店,補助科目
0001-20090417-12-89-1-639,,,0001-20090417-12-89-1-639,entries,89-639,2008-08-19,manual,gj,General,12,,,,,,,,,,,,,
0001-20090417-12-89-1-639,1,,,,,,,,,,740,車両費,account,debit,4456,ISO4217:JPY,2009-04-17,proposed,ガソリン代,,,,
0001-20090417-12-89-1-639,1,1,,,,,,,,,,,,,,,,,,account sub,10,札幌,部門
0001-20090417-12-89-1-639,2,,,,,,,,,,191,仮払消費税等,account,debit,222,ISO4217:JPY,2009-04-17,tax,,,,,
0001-20090417-12-89-1-639,2,1,,,,,,,,,,,,,,,,,,account sub,10,札幌,部門
0001-20090417-12-89-1-639,3,,,,,,,,,,111,現金,account,credit,6478,ISO4217:JPY,2009-04-17,proposed,ガソリン代,,,,
0001-20090417-12-89-1-639,3,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090417-12-89-1-639,4,,,,,,,,,,740,車両費,account,debit,572,ISO4217:JPY,2009-04-17,proposed,高速代,,,,
0001-20090417-12-89-1-639,4,1,,,,,,,,,,,,,,,,,,account sub,10,札幌,部門
0001-20090417-12-89-1-639,5,,,,,,,,,,191,仮払消費税等,account,debit,28,ISO4217:JPY,2009-04-17,tax,,,,,
0001-20090417-12-89-1-639,5,1,,,,,,,,,,,,,,,,,,account sub,10,札幌,部門
0001-20090417-12-89-1-639,6,,,,,,,,,,740,車両費,account,debit,1143,ISO4217:JPY,2009-04-17,proposed,駐車代,,,,
0001-20090417-12-89-1-639,6,1,,,,,,,,,,,,,,,,,,account sub,10,札幌,部門
0001-20090417-12-89-1-639,7,,,,,,,,,,191,仮払消費税等,account,debit,57,ISO4217:JPY,2009-04-17,tax,,,,,
0001-20090417-12-89-1-639,7,1,,,,,,,,,,,,,,,,,,account sub,10,札幌,部門
0001-20090417-47-90-1-641,,,0001-20090417-47-90-1-641,entries,90-641,2008-08-19,manual,gj,General,47,,,,,,,,,,,,,
0001-20090417-47-90-1-641,1,,,,,,,,,,740,車両費,account,debit,2420,ISO4217:JPY,2009-04-17,proposed,ガソリン代,,,,
0001-20090417-47-90-1-641,1,1,,,,,,,,,,,,,,,,,,account sub,20,東京,部門
0001-20090417-47-90-1-641,2,,,,,,,,,,191,仮払消費税等,account,debit,120,ISO4217:JPY,2009-04-17,tax,,,,,
0001-20090417-47-90-1-641,2,1,,,,,,,,,,,,,,,,,,account sub,20,東京,部門
0001-20090417-47-90-1-641,3,,,,,,,,,,111,現金,account,credit,2540,ISO4217:JPY,2009-04-17,proposed,ガソリン代,,,,
0001-20090417-47-90-1-641,3,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090417-52-91-1-643,,,0001-20090417-52-91-1-643,entries,91-643,2008-08-19,manual,gj,General,52,,,,,,,,,,,,,
0001-20090417-52-91-1-643,1,,,,,,,,,,740,車両費,account,debit,2191,ISO4217:JPY,2009-04-17,proposed,ガソリン代,,,,
0001-20090417-52-91-1-643,1,1,,,,,,,,,,,,,,,,,,account sub,20,東京,部門
0001-20090417-52-91-1-643,2,,,,,,,,,,191,仮払消費税等,account,debit,109,ISO4217:JPY,2009-04-17,tax,,,,,
0001-20090417-52-91-1-643,2,1,,,,,,,,,,,,,,,,,,account sub,20,東京,部門
0001-20090417-52-91-1-643,3,,,,,,,,,,111,現金,account,credit,4650,ISO4217:JPY,2009-04-17,proposed,ガソリン代,,,,
0001-20090417-52-91-1-643,3,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090417-52-91-1-643,4,,,,,,,,,,740,車両費,account,debit,1096,ISO4217:JPY,2009-04-17,proposed,高速代,,,,
0001-20090417-52-91-1-643,4,1,,,,,,,,,,,,,,,,,,account sub,20,東京,部門
0001-20090417-52-91-1-643,5,,,,,,,,,,191,仮払消費税等,account,debit,54,ISO4217:JPY,2009-04-17,tax,,,,,
0001-20090417-52-91-1-643,5,1,,,,,,,,,,,,,,,,,,account sub,20,東京,部門
0001-20090417-52-91-1-643,6,,,,,,,,,,740,車両費,account,debit,1143,ISO4217:JPY,2009-04-17,proposed,駐車代,,,,
0001-20090417-52-91-1-643,6,1,,,,,,,,,,,,,,,,,,account sub,20,東京,部門
0001-20090417-52-91-1-643,7,,,,,,,,,,191,仮払消費税等,account,debit,57,ISO4217:JPY,2009-04-17,tax,,,,,
0001-20090417-52-91-1-643,7,1,,,,,,,,,,,,,,,,,,account sub,20,東京,部門
0001-20090418-237-92-1-645,,,0001-20090418-237-92-1-645,entries,92-645,2008-08-19,manual,gj,General,237,,,,,,,,,,,,,
0001-20090418-237-92-1-645,1,,,,,,,,,,733,交際接待費,account,debit,11429,ISO4217:JPY,2009-04-18,proposed,ゴルフプレー代,,,,
0001-20090418-237-92-1-645,1,1,,,,,,,,,,,,,,,,,,account sub,20,東京,部門
0001-20090418-237-92-1-645,2,,,,,,,,,,191,仮払消費税等,account,debit,571,ISO4217:JPY,2009-04-18,tax,,,,,
0001-20090418-237-92-1-645,2,1,,,,,,,,,,,,,,,,,,account sub,20,東京,部門
0001-20090418-237-92-1-645,3,,,,,,,,,,111,現金,account,credit,12000,ISO4217:JPY,2009-04-18,proposed,ゴルフプレー代,,,,
0001-20090418-237-92-1-645,3,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090419-244-93-1-647,,,0001-20090419-244-93-1-647,entries,93-647,2008-08-19,manual,gj,General,244,,,,,,,,,,,,,
0001-20090419-244-93-1-647,1,,,,,,,,,,740,車両費,account,debit,6727,ISO4217:JPY,2009-04-19,proposed,ガソリン代,,,,
0001-20090419-244-93-1-647,1,1,,,,,,,,,,,,,,,,,,account sub,40,大阪,部門
0001-20090419-244-93-1-647,2,,,,,,,,,,191,仮払消費税等,account,debit,336,ISO4217:JPY,2009-04-19,tax,,,,,
0001-20090419-244-93-1-647,2,1,,,,,,,,,,,,,,,,,,account sub,40,大阪,部門
0001-20090419-244-93-1-647,3,,,,,,,,,,111,現金,account,credit,7063,ISO4217:JPY,2009-04-19,proposed,ガソリン代,,,,
0001-20090419-244-93-1-647,3,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090419-312-94-1-649,,,0001-20090419-312-94-1-649,entries,94-649,2008-08-19,manual,gj,General,312,,,,,,,,,,,,,
0001-20090419-312-94-1-649,1,,,,,,,,,,131,普通預金,account,debit,500000,ISO4217:JPY,2009-04-19,proposed,資金移動,,,,
0001-20090419-312-94-1-649,1,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090419-312-94-1-649,1,2,,,,,,,,,,,,,,,,,,account sub,10,北海道　駅前,補助科目
0001-20090419-312-94-1-649,2,,,,,,,,,,131,普通預金,account,credit,500000,ISO4217:JPY,2009-04-19,proposed,資金移動,,,,
0001-20090419-312-94-1-649,2,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090419-312-94-1-649,2,2,,,,,,,,,,,,,,,,,,account sub,20,みずほ　本店,補助科目
0001-20090420-101-109-1-679,,,0001-20090420-101-109-1-679,entries,109-679,2008-08-19,manual,gj,General,101,,,,,,,,,,,,,
0001-20090420-101-109-1-679,1,,,,,,,,,,732,広告宣伝費,account,debit,50000,ISO4217:JPY,2009-04-20,proposed,広告料,,,,
0001-20090420-101-109-1-679,1,1,,,,,,,,,,,,,,,,,,account sub,40,大阪,部門
0001-20090420-101-109-1-679,2,,,,,,,,,,191,仮払消費税等,account,debit,2500,ISO4217:JPY,2009-04-20,tax,,,,,
0001-20090420-101-109-1-679,2,1,,,,,,,,,,,,,,,,,,account sub,40,大阪,部門
0001-20090420-101-109-1-679,3,,,,,,,,,,322,未払金,account,credit,52500,ISO4217:JPY,2009-04-20,proposed,広告料,,,,
0001-20090420-101-109-1-679,3,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090420-118-110-1-681,,,0001-20090420-118-110-1-681,entries,110-681,2008-08-19,manual,gj,General,118,,,,,,,,,,,,,
0001-20090420-118-110-1-681,1,,,,,,,,,,754,事務用消耗品費,account,debit,6678,ISO4217:JPY,2009-04-20,proposed,コピー代,,,,
0001-20090420-118-110-1-681,1,1,,,,,,,,,,,,,,,,,,account sub,40,大阪,部門
0001-20090420-118-110-1-681,2,,,,,,,,,,191,仮払消費税等,account,debit,333,ISO4217:JPY,2009-04-20,tax,,,,,
0001-20090420-118-110-1-681,2,1,,,,,,,,,,,,,,,,,,account sub,40,大阪,部門
0001-20090420-118-110-1-681,3,,,,,,,,,,322,未払金,account,credit,7011,ISO4217:JPY,2009-04-20,proposed,コピー代,,,,
0001-20090420-118-110-1-681,3,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090420-132-111-1-683,,,0001-20090420-132-111-1-683,entries,111-683,2008-08-19,manual,gj,General,132,,,,,,,,,,,,,
0001-20090420-132-111-1-683,1,,,,,,,,,,736,水道光熱費,account,debit,113565,ISO4217:JPY,2009-04-20,proposed,電気代,,,,
0001-20090420-132-111-1-683,1,1,,,,,,,,,,,,,,,,,,account sub,40,大阪,部門
0001-20090420-132-111-1-683,2,,,,,,,,,,191,仮払消費税等,account,debit,5678,ISO4217:JPY,2009-04-20,tax,,,,,
0001-20090420-132-111-1-683,2,1,,,,,,,,,,,,,,,,,,account sub,40,大阪,部門
0001-20090420-132-111-1-683,3,,,,,,,,,,131,普通預金,account,credit,125783,ISO4217:JPY,2009-04-20,proposed,電気代,,,,
0001-20090420-132-111-1-683,3,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090420-132-111-1-683,3,2,,,,,,,,,,,,,,,,,,account sub,40,三菱東京　梅田,補助科目
0001-20090420-132-111-1-683,4,,,,,,,,,,736,水道光熱費,account,debit,6229,ISO4217:JPY,2009-04-20,proposed,水道代,,,,
0001-20090420-132-111-1-683,4,1,,,,,,,,,,,,,,,,,,account sub,40,大阪,部門
0001-20090420-132-111-1-683,5,,,,,,,,,,191,仮払消費税等,account,debit,311,ISO4217:JPY,2009-04-20,tax,,,,,
0001-20090420-132-111-1-683,5,1,,,,,,,,,,,,,,,,,,account sub,40,大阪,部門
0001-20090420-135-112-1-685,,,0001-20090420-135-112-1-685,entries,112-685,2008-08-19,manual,gj,General,135,,,,,,,,,,,,,
0001-20090420-135-112-1-685,1,,,,,,,,,,754,事務用消耗品費,account,debit,2972,ISO4217:JPY,2009-04-20,proposed,事務用品,,,,
0001-20090420-135-112-1-685,1,1,,,,,,,,,,,,,,,,,,account sub,40,大阪,部門
0001-20090420-135-112-1-685,2,,,,,,,,,,191,仮払消費税等,account,debit,148,ISO4217:JPY,2009-04-20,tax,,,,,
0001-20090420-135-112-1-685,2,1,,,,,,,,,,,,,,,,,,account sub,40,大阪,部門
0001-20090420-135-112-1-685,3,,,,,,,,,,322,未払金,account,credit,3120,ISO4217:JPY,2009-04-20,proposed,事務用品,,,,
0001-20090420-135-112-1-685,3,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090420-141-113-1-687,,,0001-20090420-141-113-1-687,entries,113-687,2008-08-19,manual,gj,General,141,,,,,,,,,,,,,
0001-20090420-141-113-1-687,1,,,,,,,,,,121,当座預金,account,debit,7736137,ISO4217:JPY,2009-04-20,proposed,手形割引　もみじデパート,,,,
0001-20090420-141-113-1-687,1,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090420-141-113-1-687,1,2,,,,,,,,,,,,,,,,,,account sub,1,みずほ銀行,補助科目
0001-20090420-141-113-1-687,2,,,,,,,,,,150,受取手形,account,credit,7794519,ISO4217:JPY,2009-04-20,proposed,手形割引　もみじデパート,,,,
0001-20090420-141-113-1-687,2,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090420-141-113-1-687,3,,,,,,,,,,821,支払利息,account,debit,58382,ISO4217:JPY,2009-04-20,proposed,手形割引料,,,,
0001-20090420-141-113-1-687,3,1,,,,,,,,,,,,,,,,,,account sub,20,東京,部門
0001-20090420-153-114-1-689,,,0001-20090420-153-114-1-689,entries,114-689,2008-08-19,manual,gj,General,153,,,,,,,,,,,,,
0001-20090420-153-114-1-689,1,,,,,,,,,,733,交際接待費,account,debit,1848,ISO4217:JPY,2009-04-20,proposed,コーヒー代他2名,,,,
0001-20090420-153-114-1-689,1,1,,,,,,,,,,,,,,,,,,account sub,30,名古屋,部門
0001-20090420-153-114-1-689,2,,,,,,,,,,191,仮払消費税等,account,debit,92,ISO4217:JPY,2009-04-20,tax,,,,,
0001-20090420-153-114-1-689,2,1,,,,,,,,,,,,,,,,,,account sub,30,名古屋,部門
0001-20090420-153-114-1-689,3,,,,,,,,,,111,現金,account,credit,1940,ISO4217:JPY,2009-04-20,proposed,コーヒー代他2名,,,,
0001-20090420-153-114-1-689,3,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090420-163-115-1-691,,,0001-20090420-163-115-1-691,entries,115-691,2008-08-19,manual,gj,General,163,,,,,,,,,,,,,
0001-20090420-163-115-1-691,1,,,,,,,,,,742,諸会費,account,debit,18000,ISO4217:JPY,2009-04-20,proposed,会費,,,,
0001-20090420-163-115-1-691,1,1,,,,,,,,,,,,,,,,,,account sub,50,九州,部門
0001-20090420-163-115-1-691,2,,,,,,,,,,111,現金,account,credit,18000,ISO4217:JPY,2009-04-20,proposed,会費,,,,
0001-20090420-163-115-1-691,2,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090420-169-116-1-693,,,0001-20090420-169-116-1-693,entries,116-693,2008-08-19,manual,gj,General,169,,,,,,,,,,,,,
0001-20090420-169-116-1-693,1,,,,,,,,,,736,水道光熱費,account,debit,120483,ISO4217:JPY,2009-04-20,proposed,電気料,,,,
0001-20090420-169-116-1-693,1,1,,,,,,,,,,,,,,,,,,account sub,50,九州,部門
0001-20090420-169-116-1-693,2,,,,,,,,,,191,仮払消費税等,account,debit,6024,ISO4217:JPY,2009-04-20,tax,,,,,
0001-20090420-169-116-1-693,2,1,,,,,,,,,,,,,,,,,,account sub,50,九州,部門
0001-20090420-169-116-1-693,3,,,,,,,,,,131,普通預金,account,credit,132075,ISO4217:JPY,2009-04-20,proposed,電気料,,,,
0001-20090420-169-116-1-693,3,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090420-169-116-1-693,3,2,,,,,,,,,,,,,,,,,,account sub,50,福岡　北九州,補助科目
0001-20090420-169-116-1-693,4,,,,,,,,,,736,水道光熱費,account,debit,5303,ISO4217:JPY,2009-04-20,proposed,水道料,,,,
0001-20090420-169-116-1-693,4,1,,,,,,,,,,,,,,,,,,account sub,50,九州,部門
0001-20090420-169-116-1-693,5,,,,,,,,,,191,仮払消費税等,account,debit,265,ISO4217:JPY,2009-04-20,tax,,,,,
0001-20090420-169-116-1-693,5,1,,,,,,,,,,,,,,,,,,account sub,50,九州,部門
0001-20090420-235-117-1-695,,,0001-20090420-235-117-1-695,entries,117-695,2008-08-19,manual,gj,General,235,,,,,,,,,,,,,
0001-20090420-235-117-1-695,1,,,,,,,,,,754,事務用消耗品費,account,debit,6000,ISO4217:JPY,2009-04-20,proposed,カウンター料金,,,,
0001-20090420-235-117-1-695,1,1,,,,,,,,,,,,,,,,,,account sub,50,九州,部門
0001-20090420-235-117-1-695,2,,,,,,,,,,191,仮払消費税等,account,debit,300,ISO4217:JPY,2009-04-20,tax,,,,,
0001-20090420-235-117-1-695,2,1,,,,,,,,,,,,,,,,,,account sub,50,九州,部門
0001-20090420-235-117-1-695,3,,,,,,,,,,322,未払金,account,credit,6300,ISO4217:JPY,2009-04-20,proposed,カウンター料金,,,,
0001-20090420-235-117-1-695,3,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090420-24-97-1-655,,,0001-20090420-24-97-1-655,entries,97-655,2008-08-19,manual,gj,General,24,,,,,,,,,,,,,
0001-20090420-24-97-1-655,1,,,,,,,,,,726,旅費交通費,account,debit,78686,ISO4217:JPY,2009-04-20,proposed,JR回数券,,,,
0001-20090420-24-97-1-655,1,1,,,,,,,,,,,,,,,,,,account sub,10,札幌,部門
0001-20090420-24-97-1-655,2,,,,,,,,,,191,仮払消費税等,account,debit,3934,ISO4217:JPY,2009-04-20,tax,,,,,
0001-20090420-24-97-1-655,2,1,,,,,,,,,,,,,,,,,,account sub,10,札幌,部門
0001-20090420-24-97-1-655,3,,,,,,,,,,111,現金,account,credit,82620,ISO4217:JPY,2009-04-20,proposed,JR回数券,,,,
0001-20090420-24-97-1-655,3,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090420-241-118-1-697,,,0001-20090420-241-118-1-697,entries,118-697,2008-08-19,manual,gj,General,241,,,,,,,,,,,,,
0001-20090420-241-118-1-697,1,,,,,,,,,,737,消耗品費,account,debit,33981,ISO4217:JPY,2009-04-20,proposed,ファイル等,,,,
0001-20090420-241-118-1-697,1,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090420-241-118-1-697,2,,,,,,,,,,191,仮払消費税等,account,debit,1699,ISO4217:JPY,2009-04-20,tax,,,,,
0001-20090420-241-118-1-697,2,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090420-241-118-1-697,3,,,,,,,,,,322,未払金,account,credit,369680,ISO4217:JPY,2009-04-20,proposed,ファイル等,,,,
0001-20090420-241-118-1-697,3,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090420-241-118-1-697,4,,,,,,,,,,737,消耗品費,account,debit,239048,ISO4217:JPY,2009-04-20,proposed,飲料水,,,,
0001-20090420-241-118-1-697,4,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090420-241-118-1-697,5,,,,,,,,,,191,仮払消費税等,account,debit,11952,ISO4217:JPY,2009-04-20,tax,,,,,
0001-20090420-241-118-1-697,5,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090420-241-118-1-697,6,,,,,,,,,,737,消耗品費,account,debit,79048,ISO4217:JPY,2009-04-20,proposed,名刺代,,,,
0001-20090420-241-118-1-697,6,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090420-241-118-1-697,7,,,,,,,,,,191,仮払消費税等,account,debit,3952,ISO4217:JPY,2009-04-20,tax,,,,,
0001-20090420-241-118-1-697,7,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090420-269-119-1-699,,,0001-20090420-269-119-1-699,entries,119-699,2008-08-19,manual,gj,General,269,,,,,,,,,,,,,
0001-20090420-269-119-1-699,1,,,,,,,,,,131,普通預金,account,debit,3190411,ISO4217:JPY,2009-04-20,proposed,09年4月20日伝票No200株式会社　ＹＡＧ,,,,
0001-20090420-269-119-1-699,1,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
