No,module,kind,object class id,Oject Class term,Level,Card,attribute id,Property term,Representation term qualifier,Representation term,Associated Object Class,Semantic data type,Description,Type,Oject Class term (entity),Property term (attribute),Representation term (domain),Ref. Object Class,Ref. Property,Tag
125,Base,RFBIE,BS08,Supplier,3,0..1,39,Approved By,,,User,REF,The unique identifier for the person who did the activity. Typically auto-generated by the system. Shall match the User_ID [UserId] in the BAS_User [BasUser] table.,A,APPROVED,User ID,IDENTIFIER 25,BAS USER,User ID,UserId
126,Base,BBIE,BS08,Supplier,3,0..1,40,Approved On,,Date,,Date,"The date of activity. This should be a system generated date (rather than user-created date), when possible. This is sometimes referred to as the creation date.",A,APPROVED,Date,DATE,,,Dt
127,Base,BBIE,BS08,Supplier,3,0..1,41,Approved At,,Time,,Time,The time of activity.,A,APPROVED,Time,TIME,,,Tm
128,Base,ASBIE,BS08,Supplier,2,0..1,42,Responsible,,,Last Modified,,Information about the data was  last modified within the system.,E,LAST MODIFIED,,,,,LstMdf
129,Base,RFBIE,BS08,Supplier,3,0..1,43,Last Modified By,,,User,REF,The unique identifier for the person who did the activity. Typically auto-generated by the system. Shall match the User_ID [UserId] in the BAS_User [BasUser] table.,A,LAST MODIFIED,User ID,IDENTIFIER 25,BAS USER,User ID,UserId
130,Base,BBIE,BS08,Supplier,3,0..1,44,Last Modified On,,Date,,Date,"The date of activity. This should be a system generated date (rather than user-created date), when possible. This is sometimes referred to as the creation date.",A,LAST MODIFIED,Date,DATE,,,Dt
131,Base,BBIE,BS08,Supplier,3,0..1,45,Last Modified At,,Time,,Time,The time of activity.,A,LAST MODIFIED,Time,TIME,,,Tm
132,Base,ABIE,BS09,Chart Of Accounts,1,--,0,Details,,,,,"Contains the information about GL accounts, including name, description, type and hierarchy. This table is level 1. When it is cross-referred by other table(s), consistency shall apply. For example, in this table, the value of GL_Account_Number [GlAcntNr] is 101, the value of GL_Account_Name [GlAcntNm] is cash, and the value of Balance_Debit_Or_Credit is D. If the value of GL_Account_Number [GlAcntNr] in GL_Trial_Balance [GlTrialBal] table is 101, then the Amount corresponding with cash account (101) must be debit.",E,BAS CHART OF ACCOUNTS,,,,,BasChartOfAcnts
133,Base,BBIE,BS09,Chart Of Accounts,2,1..1,1,GL Account Number,,Code,,Code,Number of the GL account.,A,BAS CHART OF ACCOUNTS,GL Account Number,GL ACCOUNT NUMBER 100,,,GlAcntNr
134,Base,BBIE,BS09,Chart Of Accounts,2,0..1,2,GL Account Name,,Text,,Text,Name of the GL account.,A,BAS CHART OF ACCOUNTS,GL Account Name,TEXT 100,,,GlAcntNm
135,Base,BBIE,BS09,Chart Of Accounts,2,0..1,3,GL Account Description,,Text,,Text,Label or description associated with the GL_Account_Number [GlAcntNr].,A,BAS CHART OF ACCOUNTS,GL Account Description,TEXT 1000,,,GlAcntDscr
136,Base,BBIE,BS09,Chart Of Accounts,2,0..1,4,FS Caption,,Text,,Text,"Financial statement caption that represents a related group of accounts.EXAMPLE   Cash and cash equivalents, AP, cost of sales.The caption can be at the trial balance level.",A,BAS CHART OF ACCOUNTS,FS Caption,TEXT 100,,,FsCaption
137,Base,BBIE,BS09,Chart Of Accounts,2,0..1,5,Account Type,,Code,,Code,"Type of account.EXAMPLE   Assets, liabilities, equity, revenues, expenses.",A,BAS CHART OF ACCOUNTS,Account Type,ACCOUNT TYPE,,,AcntTyp
138,Base,BBIE,BS09,Chart Of Accounts,2,0..1,6,Account Subtype,,Code,,Code,Subtype of the account.EXAMPLE   Current assets are the subtype of assets.,A,BAS CHART OF ACCOUNTS,Account Subtype,ACCOUNT TYPE,,,AcntSubtyp
139,Base,BBIE,BS09,Chart Of Accounts,2,0..1,7,Account Hierarchy,,Code,,Code,"Corresponding level for account number in the account hierarchy.EXAMPLE   1 is assets, 2 is the account subtype current assets.",A,BAS CHART OF ACCOUNTS,Account Hierarchy,ACCOUNT HIERARCHY,,,AcntHrchy
140,Base,RFBIE,BS09,Chart Of Accounts,2,0..1,8,Parent GL Account Number,,,Chart Of Accounts,REF,"Number of the parent account in an account hierarchy.This is provided to allow more than the predefined levels of the hierarchy in the BAS_Chart_Of_Accounts [BasChartOfAcnts] table.When Parent_GL_Account_Number [ParGlAcntNr] is the highest level, its value can be set to the default value (e.g. set to NULL).Shall match the GL_Account_Number [GlAcntNr] in the BAS_Chart_Of_Accounts [BasChartOfAcnts] table.",A,BAS CHART OF ACCOUNTS,Parent GL Account Number,GL ACCOUNT NUMBER 100,BAS CHART OF ACCOUNTS,GL Account Number,ParGlAcntNr
141,Base,BBIE,BS09,Chart Of Accounts,2,0..1,9,Balance Debit Or Credit Code,,Code,,Code,"Indicates whether the natural balance of the account is a debit or credit balance by indicating D or C, where assets and expenses have a natural balance of debit, and liabilities, equity and revenues have a natural balance of credit.",A,BAS CHART OF ACCOUNTS,Balance Debit Or Credit Code,CREDIT DEBIT CODE,,,BalDbOrCrCd
142,Base,BBIE,BS09,Chart Of Accounts,2,0..1,10,Active Flag,,Indicator,,Indicator,"Indicates whether the GL account is active or inactive.EXAMPLE   1 is active, 0 is inactive.",A,BAS CHART OF ACCOUNTS,Active Flag,BOOLEAN,,,ActiveFlag
143,Base,ASBIE,BS09,Chart Of Accounts,2,0..n,11,Specified,,,Business Segment,,Contains associated Business Segment information.,E,BUSINESS SEGMENT,,,,,BusSg
145,Base,BBIE,BS09,Chart Of Accounts,2,1..1,12,Business Segment Code,,Code,,Code,Contains a code to identify the associated business segment. Must match the Business_Segment_Code [BusSgCd] in BAS_Business_Segment [BasBusSg].,A,,,,,,
145.5,Base,BBIE,BS09,Chart Of Accounts,2,0..1,13,Business Segment Name,,Text,,Text,The name of the Business Segment.,A,BUSINESS SEGMENT,Sequence Number,REFERENCE LEVEL,,,SqNr
144,Base,BBIE,BS09,Chart Of Accounts,2,1..1,14,Segment Reference Level,,Code,,Code,Number or text to keep the Business Segments in a predefined order.,A,BUSINESS SEGMENT,Sequence Number,REFERENCE LEVEL,,,SqNr
144.5,Base,BBIE,BS09,Chart Of Accounts,2,0..1,15,Business Segment Type Name,,Text,,Text,,,,,,,,
146,Base,ABIE,BS10,Accounting Period,1,--,0,Details,,,,,"Contains information related to the accounting period, including corresponding fiscal year, beginning date and ending date. The table captures the time range within a specific reporting period and year, in which business transactions and entries are accumulated into financial statements and other reports.",E,BAS ACCOUNTING PERIOD,,,,,BasAcntingPer
148,Base,BBIE,BS10,Accounting Period,2,1..1,1,Accounting Period Code,,Code,,Code,"Accounting period in which the calendar date occurs.EXAMPLE   W1-W53 for weekly periods, M1-M12 for monthly periods, Q1-Q4 for quarterly periods, from any beginning date to any ending date.",A,BAS ACCOUNTING PERIOD,Accounting Period,PERIOD IDENTIFIER,,,AcntingPer
147,Base,BBIE,BS10,Accounting Period,2,1..1,2,Fiscal Year,,Code,,Code,"Fiscal year in which the calendar date occurs.The year shall be shown in four digits as YYYY, which is part of the extended format and the YYYY-MM-DD from ISO 8601-1.",A,BAS ACCOUNTING PERIOD,Fiscal Year,YEAR IDENTIFIER,,,FiscYr
149,Base,BBIE,BS10,Accounting Period,2,0..1,3,Accounting Period BEG Date,,Date,,Date,Calendar beginning date of the current accounting period.,A,BAS ACCOUNTING PERIOD,Accounting Period BEG Date,DATE,,,AcntingPerBegDt
150,Base,BBIE,BS10,Accounting Period,2,0..1,4,Accounting Period Ending Date,,Date,,Date,Calendar ending date of the current accounting period.,A,BAS ACCOUNTING PERIOD,Accounting Period Ending Date,DATE,,,AcntingPerEndDt
151,Base,ABIE,BS10,Journal Entry Type,1,--,0,Details,,,,,"Contains information relevant to the GL journal entry type (e.g. cash receipts, cash disbursements).",E,BAS JOURNAL ENTRY TYPE,,,,,BasJrnEntryTyp
152,Base,IDBIE,BS10,Journal Entry Type,2,1..1,1,Journal Entry Type Code,,Identifier,,PK,"Code for the journal entry type.EXAMPLE   004 is a cash receipt entry, 005 is a cash disbursement entry, 006 is a non-cash entry.",A,BAS JOURNAL ENTRY TYPE,JE Type Code,IDENTIFIER 60,,,JeTypCd
153,Base,BBIE,BS10,Journal Entry Type,2,0..1,2,Journal Entry Type Name,,Text,,Text,"Name of the journal entry type.This is usually categorized by business to satisfy an internal control need and/or to facilitate sorting and querying.EXAMPLE   Journal entries can be classified based on whether the transaction involves cash. In this case, there can be a cash receipt entry, cash disbursement entry and non-cash entry of adjusting that is the recording of interest revenue earned and wages payable, estimation that is the recording depreciation, and bad-debt expenses, and/or correction that makes entries to counteract the effects of errors found in the GL.",A,BAS JOURNAL ENTRY TYPE,JE Type Name,TEXT 60,,,JeTypNm
154,Base,BBIE,BS10,Journal Entry Type,2,0..1,3,Journal Entry Type Abbreviation,,Text,,Text,Abbreviation of the journal entry type.,A,BAS JOURNAL ENTRY TYPE,JE Type Abbreviation,TEXT 30,,,JeTypAbrv
155,Base,BBIE,BS10,Journal Entry Type,2,0..1,4,Active Flag,,Indicator,,Indicator,"Indicates whether the JE type is active or inactive.EXAMPLE   1 is active, 0 is inactive.",A,BAS JOURNAL ENTRY TYPE,Active Flag,BOOLEAN,,,ActiveFlag
156,Base,ABIE,BS11,Bill Type,1,--,0,Details,,,,,"The information of the bill type (e.g. bank draft, commercial draft, promissory note, check). Bills are frequently used in the business cycle of sales and purchase, as evidence of debt, payment and/or settlement instrument.",E,BAS BILL TYPE,,,,,BasBillTyp
157,Base,IDBIE,BS11,Bill Type,2,1..1,1,Bill Type Code,,Identifier,,PK,"Code for the bill type.EXAMPLE   004 is bank draft, 005 is promissory note, 006 is check.",A,BAS BILL TYPE,Bill Type Code,IDENTIFIER 60,,,BillTypCd
158,Base,BBIE,BS11,Bill Type,2,0..1,2,Bill Type Name,,Text,,Text,"Name of the bill type.EXAMPLE   Bank draft, commercial draft, promissory note and check.",A,BAS BILL TYPE,Bill Type Name,TEXT 60,,,BillTypNm
159,Base,BBIE,BS11,Bill Type,2,0..1,3,Active Flag,,Indicator,,Indicator,"Indicates whether the bill type is active or inactive.EXAMPLE   1 is active, 0 is inactive.",A,BAS BILL TYPE,Active Flag,BOOLEAN,,,ActiveFlag
160,Base,ABIE,BS12,Settlement Method,1,--,0,Details,,,,,"Contains information on methods used to settle transactions. Businesses can adopt various methods to settle transactions and transfer money, especially in sales and purchase activities. Typical settlement methods include cash settlements, issuing bills, using credit cards, bank remittances and bank collections.",E,BAS SETTLEMENT METHOD,,,,,BasSetlMthd
161,Base,IDBIE,BS12,Settlement Method,2,1..1,1,Settlement Method Code,,Identifier,,PK,"Code for the settlement method.Various methods can be used to settle transactions and transfer money.EXAMPLE   001 for cash, 002 for bills, 003 for credit card, 004 for remittance, 005 for bank collection.",A,BAS SETTLEMENT METHOD,Settlement Method Code,IDENTIFIER 60,,,SetlMthdCd
162,Base,BBIE,BS12,Settlement Method,2,0..1,2,Settlement Method Name,,Text,,Text,"Name of the settlement method.EXAMPLE   Cash settlement, issuing bills, credit card, bank remittance, bank collection.",A,BAS SETTLEMENT METHOD,Settlement Method Name,TEXT 60,,,SetlMthdNm
163,Base,BBIE,BS12,Settlement Method,2,0..1,3,Active Flag,,Indicator,,Indicator,"Indicates whether the settlement method is active or inactive.EXAMPLE   1 is active, 0 is inactive.",A,BAS SETTLEMENT METHOD,Active Flag,BOOLEAN,,,ActiveFlag
164,Base,ABIE,BS13,Currency,1,--,0,Details,,,,,Contains the information of the currency.,E,BAS CURRENCY,,,,,BasCur
165,Base,IDBIE,BS13,Currency,2,1..1,1,Currency Code,,Identifier,,PK,Code for the currency (in accordance with ISO 4217).,A,BAS CURRENCY,Currency Code,CURRENCY CODE,,,CurCd
166,Base,BBIE,BS13,Currency,2,0..1,2,Currency Name,,Text,,Text,Name of the currency in the accounting and/or ERP system.,A,BAS CURRENCY,Currency Name,TEXT 30,,,CurNm
167,Base,BBIE,BS13,Currency,2,0..1,3,Minor Unit,,Code,,Code,"Unit of recorded value that is a division of the respective unit of currency.Minor unit shows the decimal relationship between such a unit and the currency itself (in accordance with ISO 4217). Number 0 means that there is no minor unit for that currency. Numbers 1, 2, 3, etc. signify a ratio of 10:1, 100:1, 1 000:1, etc., respectively.EXAMPLE   The US cent is a one hundredth part of the US dollar. The GB penny is a one hundredth part of the pound sterling. The minor unit number for both is 2.",A,BAS CURRENCY,Minor Unit,UNIT,,,MinorUnit
168,Base,BBIE,BS13,Currency,2,0..1,4,Active Flag,,Indicator,,Indicator,"Indicates whether Currency_Code [CurCd] is active or inactive.EXAMPLE   1 is active, 0 is inactive.",A,BAS CURRENCY,Active Flag,BOOLEAN,,,ActiveFlag
169,Base,ABIE,BS14,Measurement Unit,1,--,0,Details,,,,,"Contains information of the measurement unit (UOM) used in the modules of GL, SAL, PUR, INV and PPE.",E,BAS MEASUREMENT UNIT,,,,,BasMeaUnit
170,Base,BBIE,BS14,Measurement Unit,2,1..1,1,UOM Code,,Code,,Code,Code of the measurement unit.,A,BAS MEASUREMENT UNIT,UOM Code,MEASUREMENT UNIT CODE,,,UomCd
171,Base,BBIE,BS14,Measurement Unit,2,0..1,2,UOM Name,,Text,,Text,"Name of the measurement unit for measuring the quantity of the material, etc.",A,BAS MEASUREMENT UNIT,UOM Name,TEXT 80,,,UomNm
172,Base,BBIE,BS14,Measurement Unit,2,0..1,3,UOM Abbreviation,,Text,,Text,"Abbreviation of the measurement unit's name.EXAMPLE   Kilogram is kg, square metre is sq.m.",A,BAS MEASUREMENT UNIT,UOM Abbreviation,TEXT 40,,,UomAbrv
173,Base,BBIE,BS14,Measurement Unit,2,0..1,4,Active Flag,,Indicator,,Indicator,"Indicates whether the UOM_Code [UomCd] is active or inactive.EXAMPLE   1 is active, 0 is inactive.",A,BAS MEASUREMENT UNIT,Active Flag,BOOLEAN,,,ActiveFlag
174,Base,ABIE,BS15,Payment Term,1,--,0,Details,,,,,"Contains the details of the payment term, which is applied and referenced in the PUR and SAL modules. The payment term refers to the condition of a sale/purchase agreement and is related to how the customer will pay (type of credit instrument), and especially how much time is allowed for payment (credit period) and discount (cash discount and discount period).",E,BAS PAYMENT TERM,,,,,BasPayTerm
175,Base,BBIE,BS15,Payment Term,2,1..1,1,Payment Term Code,,Code,,Code,"Code for the payment term.EXAMPLE   Terms of 2/10, net 60 are quoted. This means that customers have 60 days from the invoice date to pay the full amount. However, if payment is made within 10 days, a 2 % cash discount can be taken.",A,BAS PAYMENT TERM,Payment Term Code,PAYMENT TERM CODE,,,PayTermCd
176,Base,BBIE,BS15,Payment Term,2,0..1,2,Payment Term Name,,Text,,Text,The full name of the payment term.,A,BAS PAYMENT TERM,Payment Term Name,TEXT 200,,,PayTermNm
177,Base,BBIE,BS15,Payment Term,2,0..1,3,Payment Term Line Number,,Text,,Text,Number of the lines according to the Payment_Term_Code [PayTermCd] value.This number is generated either by manual input or by the system.,A,BAS PAYMENT TERM,Payment Term Line Number,TEXT 10,,,PayTermLnNr
178,Base,BBIE,BS15,Payment Term,2,0..1,4,Payment Term Line Description,,Text,,Text,"Detailed description of the payment term's line.EXAMPLE   Payment due date, discount days, discount percentage.",A,BAS PAYMENT TERM,Payment Term Line Description,TEXT 1000,,,PayTermLnDscr
179,Base,BBIE,BS15,Payment Term,2,0..1,5,Active Flag,,Indicator,,Indicator,"Indicates whether the payment term is active or inactive.EXAMPLE   1 is active, 0 is inactive.",A,BAS PAYMENT TERM,Active Flag,BOOLEAN,,,ActiveFlag
180,Base,ABIE,BS16,Project,1,--,0,Details,,,,,"Contains the detailed information related to the project (e.g. construction project, government or business-funded research project). Projects are commonly administrated separately and could be subject to being audit in accordance with regulatory and/or managerial requirements. The audit of a project is a thorough examination of the management, execution, methodology, procedures, records, budgets, expenditures, and the degree of completion. It is referenced in several modules including GL, AR, AP and INV.",E,BAS PROJECT,,,,,BasProj
181,Base,BBIE,BS16,Project,2,1..1,1,Project ID,,Identifier,,Code,Unique identifier for the project.Typically auto-generated by the system.,A,BAS PROJECT,Project ID,IDENTIFIER 60,,,ProjId
182,Base,BBIE,BS16,Project,2,0..1,2,Project Code,,Text,,Text,Code of the project.,A,BAS PROJECT,Project Code,TEXT 80,,,ProjCd
183,Base,BBIE,BS16,Project,2,0..1,3,Project Name,,Text,,Text,Name of the project related to operation and administration.,A,BAS PROJECT,Project Name,TEXT 80,,,ProjNm
184,Base,BBIE,BS16,Project,2,0..1,4,Project Beginning Date,,Date,,Date,Beginning date of the project.,A,BAS PROJECT,Project Beginning Date,DATE,,,ProjBegDt
185,Base,BBIE,BS16,Project,2,0..1,5,Project Ending Date,,Date,,Date,Ending date of the project.,A,BAS PROJECT,Project Ending Date,DATE,,,ProjEndDt
186,Base,BBIE,BS16,Project,2,0..1,6,Active Flag,,Indicator,,Indicator,"Indicates whether the project is active or inactive.EXAMPLE   1 is active, 0 is inactive.",A,BAS PROJECT,Active Flag,BOOLEAN,,,ActiveFlag
187,Base,ASBIE,BS16,Project,2,0..n,7,Specified,,,Business Segment,,Contains associated Business Segment information.,E,BUSINESS SEGMENT,,,,,BusSg
189,Base,BBIE,BS16,Project,3,1..1,8,Business Segment Code,,Code,,Code,Contains a code to identify the associated business segment. Must match the Business_Segment_Code [BusSgCd] in BAS_Business_Segment [BasBusSg].,A,,,,,,
189.5,Base,BBIE,BS16,Project,3,0..1,9,Business Segment Name,,Text,,Text,The name of the Business Segment.,A,BUSINESS SEGMENT,Sequence Number,REFERENCE LEVEL,,,SqNr
188,Base,BBIE,BS16,Project,3,1..1,10,Segment Reference Level,,Code,,Code,Number or text to keep the Business Segments in a predefined order.,A,BUSINESS SEGMENT,Sequence Number,REFERENCE LEVEL,,,SqNr
188.5,Base,BBIE,BS16,Project,3,0..1,11,Business Segment Type Name,,Text,,Text,,,,,,,,
190,Base,ABIE,BS17,Bank Account,1,--,0,Details,,,,,Contains the details of a bank account.,E,BAS BANK ACCOUNT,,,,,BasBankAcnt
191,Base,BBIE,BS17,Bank Account,2,1..1,1,Bank Account Number,,Identifier,,Code,"Number of the account opened in an institution (e.g. bank, financial institution, settlement centre).ISO 13616-2 is recommended if applicable.",A,BAS BANK ACCOUNT,Bank Account Number,IDENTIFIER 60,,,BankAcntNr
192,Base,BBIE,BS17,Bank Account,2,0..1,2,Bank Account Name,,Text,,Text,"Name of the account opened in an institution (e.g. bank, financial institution, settlement centre).",A,BAS BANK ACCOUNT,Bank Account Name,TEXT 128,,,BankAcntNm
193,Base,BBIE,BS17,Bank Account,2,0..1,3,Identification,,Code,,Code,Code for the financial institution (in accordance with ISO 9362 or ISO 17442).ISO 17442 is preferred. One reason is that the bank branch identifier will not change due to location movement.,A,BAS BANK ACCOUNT,Bank Code,BANK CODE,,,BankCd
194,Base,BBIE,BS17,Bank Account,2,0..1,4,Bank Name,,Text,,Text,"Full name of the institution (e.g. bank, financial institution, settlement centre).",A,BAS BANK ACCOUNT,Bank Name,TEXT 200,,,BankNm
195,Base,BBIE,BS17,Bank Account,2,0..1,5,Identification,,Code,,Code,Code for the institution's branch.,A,BAS BANK ACCOUNT,Branch Code,BRANCH CODE,,,BraCd
196,Base,BBIE,BS17,Bank Account,2,0..1,6,Branch Name,,Text,,Text,Full name of the institution's branch.,A,BAS BANK ACCOUNT,Branch Name,TEXT 200,,,BraNm
197,Base,BBIE,BS17,Bank Account,2,0..1,7,Country Code,,Code,,Code,Country code where the branch is physically located (in accordance with ISO 3166-1).,A,BAS BANK ACCOUNT,Branch Country Code,COUNTRY CODE,,,BraCntryCd
198,Base,BBIE,BS17,Bank Account,2,0..1,8,Branch Region,,Text,,Text,"Sub-region within a country.EXAMPLE   A state in the US, a province in Canada.",A,BAS BANK ACCOUNT,Branch Region,TEXT 25,,,BraRegion
199,Base,BBIE,BS17,Bank Account,2,0..1,9,Active,,Indicator,,Indicator,"Indicates whether the bank account is active or inactive.EXAMPLE   1 is active, 0 is inactive.",A,BAS BANK ACCOUNT,Active Flag,BOOLEAN,,,ActiveFlag
200,Base,ASBIE,BS17,Bank Account,2,0..n,10,Specified,,,Business Segment,,Contains associated Business Segment information.,E,BUSINESS SEGMENT,,,,,BusSg
202,Base,BBIE,BS17,GL Details,2,1..1,11,Business Segment Code,,Code,,Code,Contains a code to identify the associated business segment. Must match the Business_Segment_Code [BusSgCd] in BAS_Business_Segment [BasBusSg].,A,,,,,,
202.5,Base,BBIE,BS17,GL Details,2,0..1,12,Business Segment Name,,Text,,Text,The name of the Business Segment.,A,BUSINESS SEGMENT,Sequence Number,REFERENCE LEVEL,,,SqNr
201,Base,BBIE,BS17,GL Details,2,1..1,13,Segment Reference Level,,Code,,Code,Number or text to keep the Business Segments in a predefined order.,A,BUSINESS SEGMENT,Sequence Number,REFERENCE LEVEL,,,SqNr
201.5,Base,BBIE,BS17,GL Details,2,0..1,14,Business Segment Type Name,,Text,,Text,,,,,,,,
203,Base,ABIE,BS18,Tax Regulatory,1,--,0,Details,,,,,"Contains regulatory information related to taxes, including regulator country, region, name and role.",E,BAS TAX REGULATORY,,,,,BasTaxRgltry
204,Base,BBIE,BS18,Tax Regulatory,2,1..1,1,Identification,,Code,,Code,Code of the regulator or jurisdiction.,A,BAS TAX REGULATORY,Regulator Code,REGULATOR CODE,,,RgltrCd
205,Base,BBIE,BS18,Tax Regulatory,2,0..1,2,Country Code,,Code,,Code,Country code where the regulator is located (in accordance with ISO 3166-1).,A,BAS TAX REGULATORY,Regulator Country Code,COUNTRY CODE,,,RgltrCntryCd
206,Base,BBIE,BS18,Tax Regulatory,2,0..1,3,Regulator Region,,Code,,Code,"Sub-region within a country.EXAMPLE   A state in the US, a province in Canada.",A,BAS TAX REGULATORY,Regulator Region,REGION,,,RgltrRegion
207,Base,BBIE,BS18,Tax Regulatory,2,0..1,4,Regulator Name,,Text,,Text,Name of the regulator for which tax is withheld or accrued.,A,BAS TAX REGULATORY,Regulator Name,TEXT 100,,,RgltrNm
208,Base,BBIE,BS18,Tax Regulatory,2,0..1,5,Regulator Role,,Text,,Text,"Role of the regulator, whether federal, regional or local.",A,BAS TAX REGULATORY,Regulator Role,TEXT 20,,,RgltrRole
209,Base,RFBIE,BS18,Tax Regulatory,2,0..1,6,Payable,,,Chart Of Accounts,REF,GL account used to reflect the amounts payable to the regulator.Shall match the GL_Account_Number [GlAcntNr] in the BAS_Chart_Of_Accounts [BasChartOfAcnts] table.,A,BAS TAX REGULATORY,Regulator Payable Account NUM,IDENTIFIER 100,BAS CHART OF ACCOUNTS,GL Account Number,RgltrPblAcntNum
210,Base,RFBIE,BS18,Tax Regulatory,2,0..1,7,Accrual,,,Chart Of Accounts,REF,GL account used to reflect the accruals due to the regulator.Shall match the GL_Account_Number [GlAcntNr] in the BAS_Chart_Of_Accounts [BasChartOfAcnts] table.,A,BAS TAX REGULATORY,Regulator Accrual Account NUM,IDENTIFIER 100,BAS CHART OF ACCOUNTS,GL Account Number,RgltrAccrlAcntNum
211,Base,RFBIE,BS18,Tax Regulatory,2,0..1,8,Expense,,,Chart Of Accounts,REF,GL account used to reflect the expenses related to the regulator.Shall match the GL_Account_Number [GlAcntNr] in the BAS_Chart_Of_Accounts [BasChartOfAcnts] table.,A,BAS TAX REGULATORY,Regulator Expense Account NUM,IDENTIFIER 100,BAS CHART OF ACCOUNTS,GL Account Number,RgltrExpnsAcntNum
212,Base,BBIE,BS18,Tax Regulatory,2,0..1,9,Regulator ID,,Identifier,,Code,ID assigned/generated by the regulator for the reporting organization to the regulator.,A,BAS TAX REGULATORY,Regulator ID,IDENTIFIER 25,,,RgltrId
213,Base,RFBIE,BS18,Tax Regulatory,2,0..1,10,Reporting Organization,,,Business Segment,REF,Code for the reporting organization.Shall match the Business_Segment_Code [BusSgCd] in the BAS_Business_Segment [BasBusSg] table.,A,BAS TAX REGULATORY,Regulator Reporting ORG,IDENTIFIER 80,BAS BUSINESS SEGMENT,Business Segment Code,RgltrRprtOrg
214,Base,BBIE,BS18,Tax Regulatory,2,0..1,11,Active,,Indicator,,Indicator,"Indicates whether the Regulator_Code [RgltrCd] is active or inactive.EXAMPLE   1 is active, 0 is inactive.",A,BAS TAX REGULATORY,Regulator Active Flag,BOOLEAN,,,RgltrActiveFlag
215,Base,ASBIE,BS18,Tax Regulatory,2,0..n,12,Specified,,,Business Segment,,Contains associated Business Segment information.,E,BUSINESS SEGMENT,,,,,BusSg
217,Base,BBIE,BS18,Tax Regulatory,3,0..1,13,Business Segment Code,,Code,,Code,Contains a code to identify the associated business segment. Must match the Business_Segment_Code [BusSgCd] in BAS_Business_Segment [BasBusSg].,A,,,,,,
217.5,Base,BBIE,BS18,Tax Regulatory,3,0..1,14,Business Segment Name,,Text,,Text,The name of the Business Segment.,A,BUSINESS SEGMENT,Sequence Number,REFERENCE LEVEL,,,SqNr
216,Base,BBIE,BS18,Tax Regulatory,3,0..1,15,Segment Reference Level,,Code,,Code,Number or text to keep the Business Segments in a predefined order.,A,BUSINESS SEGMENT,Sequence Number,REFERENCE LEVEL,,,SqNr
216.5,Base,BBIE,BS18,Tax Regulatory,3,0..1,16,Business Segment Type Name,,Text,,Text,,,,,,,,
218,Base,ABIE,BS19,Tax Type,1,--,0,Details,,,,,"Contains detailed information on tax types used by the business. The tables in AR, SAL, AP and PUR modules contain 4 tax types, which can meet the requirements in most cases of the business. Tax types could be tax in country level, state level, county level or in local level, or could be tax related to a transaction (e.g. sales tax, value added tax, tariff).",E,BAS TAX TYPE,,,,,BasTaxTyp
219,Base,BBIE,BS19,Tax Type,2,1..1,1,Identification,,Code,,Code,"Code used to refer to this tax type, used as a key or cross-reference in files.EXAMPLE   004 is the income tax, 005 is the tariff, 006 is the value added tax.",A,BAS TAX TYPE,Tax Type Code,TAX TYPE CODE,,,TaxTypCd
220,Base,BBIE,BS19,Tax Type,2,0..1,2,Tax Name,,Text,,Text,"Name of the tax type.EXAMPLE   Income tax, tariff, value added tax.",A,BAS TAX TYPE,Tax Name,TEXT 100,,,TaxNm
221,Base,RFBIE,BS19,Tax Type,2,0..1,3,Regulator,,,Tax Regulatory,REF,Code for the regulator for this tax.Shall match the Regulator_Code [RgltrCd] in the BAS_Tax_Regulatory [BasTaxRgltry] table.,A,BAS TAX TYPE,Regulator Code,REGULATOR CODE,BAS TAX REGULATORY,Regulator Code,RgltrCd
222,Base,BBIE,BS19,Tax Type,2,0..1,4,Tax Type Description,,Text,,Text,Description of the tax type.,A,BAS TAX TYPE,Tax Type Description,TEXT 100,,,TaxTypDscr
223,Base,BBIE,BS19,Tax Type,2,0..1,5,Tax Code Description,,Text,,Text,"Description of the tax code, which is a sub-division of the tax type.EXAMPLE   Lower percentage applicable for common goods.",A,BAS TAX TYPE,Tax Code Description,TEXT 1000,,,TaxCdDscr
224,Base,BBIE,BS19,Tax Type,2,0..1,6,Tax Percentage,,Percentage,,Percentage,Default percentage for this combination of tax type and tax code.Can use the Extracted_Date [ExtractedDt] from the BAS_Profile [BasProfile] table.,A,BAS TAX TYPE,Tax Percentage,PERCENTAGE11,,,TaxPerc
225,Base,ASBIE,BS19,Tax Type,2,0..n,7,Specified,,,Business Segment,,Contains associated Business Segment information.,E,BUSINESS SEGMENT,,,,,BusSg
227,Base,BBIE,BS19,Tax Type,3,1..1,8,Business Segment Code,,Code,,Code,Contains a code to identify the associated business segment. Must match the Business_Segment_Code [BusSgCd] in BAS_Business_Segment [BasBusSg].,A,,,,,,
227.5,Base,BBIE,BS19,Tax Type,3,0..1,9,Business Segment Name,,Text,,Text,The name of the Business Segment.,A,BUSINESS SEGMENT,Sequence Number,REFERENCE LEVEL,,,SqNr
226,Base,BBIE,BS19,Tax Type,3,1..1,10,Segment Reference Level,,Code,,Code,Number or text to keep the Business Segments in a predefined order.,A,BUSINESS SEGMENT,Sequence Number,REFERENCE LEVEL,,,SqNr
226.5,Base,BBIE,BS19,Tax Type,3,0..1,11,Business Segment Type Name,,Text,,Text,,,,,,,,
