No,mnodule,class_id,attr_id,Trype,Level,Card,Oject Class term (entity),Property term (attribute),Representation term,Associated class,Referenced Class,(domain),Tag,Description,Ref. Object Class,Ref. Property
513,AR,AR04,01,PKBIE,1,1..1,AR Adjustment,Adjustment ID,Identifier,,,IDENTIFIER 100,AdjId,Unique identifier for the adjustment of a record.Typically auto-generated by the system.,,
514,AR,AR04,02,BBIE,1,0..1,AR Adjustment,Adjustment Number,Code,,,TEXT 100,AdjNr,"Number of the adjustment of the record.This number is generated either by manual input or by the system. This number can be created by concatenating fields to uniquely identify each transaction (e.g. serial number, document type, adjustment date).",,
515,AR,AR04,03,BBIE,1,0..1,AR Adjustment,Adjustment Type Name,Text,,,TEXT 60,AdjTypNm,"Name of the method by which the transaction debit or credit amount was extinguished or apportioned to the debt by the customer.EXAMPLE   Credit memo, debit memo, finance charge, other adjustments.",,
516,AR,AR04,04,BBIE,1,0..1,AR Adjustment,Adjustment Document Number,Code,,,TEXT 100,AdjDocNr,"Number of an internally generated adjustment document (e.g. credit memo).This number is usually generated by manual input or automated using system-based rules (e.g. document number, document type, year).",,
517,AR,AR04,05,RFBIE,1,0..1,AR Adjustment,Invoice ID,,,Invoice Generated,IDENTIFIER 60,InvoiId,"Unique identifier for the invoice, from which AR is derived.Typically auto-generated by the system.This field represents the invoice against which the adjustment is applied, if relevant.May be set to NULL if the adjustment is at the customer (not invoice) level. Otherwise shall match the Invoice_ID [InvoiId] in the SAL_Invoices_Generated [SalInvoiGen] table.",SAL INVOICE GENERATED,Invoice ID
518,AR,AR04,06,RFBIE,1,0..1,AR Adjustment,Journal ID,,,GL Details,IDENTIFIER 100,JrnId,Unique identifier for journal entry.Typically auto-generated by the system.Shall match the Journal_ID [JrnId] in the GL_Details [GlDtls] table.,GL DETAILS,Journal ID
519,AR,AR04,07,RFBIE,1,0..1,AR Adjustment,Fiscal Year,,,Accounting Period,YEAR IDENTIFIER,FiscYr,"Fiscal year in which the Adjustment_Date [AdjDt] occurs.The year shall be shown in four digits as YYYY, which is part of the extended format and the YYYY-MM-DD from ISO 8601-1.Shall match the Fiscal_Year [FiscYr] in the BAS_Accounting_Period [BasAcntingPer] table.",BAS ACCOUNTING PERIOD,Fiscal Year
520,AR,AR04,08,RFBIE,1,0..1,AR Adjustment,Accounting Period,,,Accounting Period,PERIOD IDENTIFIER,AcntingPer,"Accounting period in which the Adjustment_Date [AdjDt] occurs.EXAMPLE   W1-W53 for weekly periods, M1-M12 for monthly periods, Q1-Q4 for quarterly periods, from any beginning date to any ending date.Shall match the Accounting_Period [AcntingPer] in the BAS_Accounting_Period [BasAcntingPer] table.",BAS ACCOUNTING PERIOD,Accounting Period
521,AR,AR04,09,BBIE,1,0..1,AR Adjustment,Adjustment Date,Date,,,DATE,AdjDt,"Date of the adjustment, regardless of the date when the adjustment was created.",,
522,AR,AR04,10,RFBIE,1,0..1,AR Adjustment,Customer Account ID,,,Customer,IDENTIFIER 100,CustAcntId,Unique identifier for the customer from whom payment is expected or to whom unused credits have been applied.Typically auto-generated by the system.Shall match the Customer_Account_ID [CustAcntId] in the BAS_Customer [BasCust] table.,BAS CUSTOMER,Customer Account ID
523,AR,AR04,11,RFBIE,1,0..1,AR Adjustment,GL Debit Account Number,,,Chart Of Accounts,GL ACCOUNT NUMBER 100,GlDbAcntNr,Number of the GL account on which the debit side of the transaction has been posted.Shall match the GL_Account_Number [GlAcntNr] in the BAS_Chart_Of_Accounts [BasChartOfAcnts] table.,BAS CHART OF ACCOUNTS,GL Account Number
524,AR,AR04,12,RFBIE,1,0..1,AR Adjustment,GL Credit Account Number,,,Chart Of Accounts,GL ACCOUNT NUMBER 100,GlCrAcntNr,Number of the GL account on which the credit side of the transaction has been posted.Shall match the GL_Account_Number [GlAcntNr] in the BAS_Chart_Of_Accounts [BasChartOfAcnts] table.,BAS CHART OF ACCOUNTS,GL Account Number
525,AR,AR04,AR64,ASBIE,1,0..1,AR Adjustment,Specified,,Adjustment Amount,,,AdjAmt,"Related adjustment amount expressed in functional, transaction, reporting and local currency.",,
526,AR,AR64,01,BBIE,2,0..1,Adjustment Amount,Functional Amount,Monatary Amount,,,AMOUNT,FuncAmt,Amount recorded in the functional or group currency.,,
527,AR,AR64,02,RFBIE,2,0..1,Adjustment Amount,Functional Currency Code,,,Currency,CURRENCY CODE,FuncCurCd,Code of the functional or group currency (in accordance with ISO 4217).Shall match the Currency_Code [CurCd] in the BAS_Currency [BasCur] table.,BAS CURRENCY,Currency Code
528,AR,AR64,03,BBIE,2,0..1,Adjustment Amount,Transaction Amount,Monatary Amount,,,AMOUNT,TrAmt,Amount recorded in the transaction currency.,,
529,AR,AR64,04,RFBIE,2,0..1,Adjustment Amount,Transaction Currency Code,,,Currency,CURRENCY CODE,TrCurCd,The code of currency used in the actual transaction (in accordance with ISO 4217).Shall match the Currency_Code [CurCd] in the BAS_Currency [BasCur] table.,BAS CURRENCY,Currency Code
530,AR,AR64,05,BBIE,2,0..1,Adjustment Amount,Reporting Amount,Monatary Amount,,,AMOUNT,RprtAmt,Amount recorded in the reporting currency.,,
531,AR,AR64,06,RFBIE,2,0..1,Adjustment Amount,Reporting Currency Code,,,Currency,CURRENCY CODE,RprtCurCd,The code of currency used for non-consolidated reporting (in accordance with ISO 4217).Shall match the Currency_Code [CurCd] in the BAS_Currency [BasCur] table.,BAS CURRENCY,Currency Code
532,AR,AR64,07,BBIE,2,0..1,Adjustment Amount,Local Amount,Monatary Amount,,,AMOUNT,LocAmt,Amount recorded in the local currency.,,
533,AR,AR64,08,RFBIE,2,0..1,Adjustment Amount,Local Currency Code,,,Currency,CURRENCY CODE,LocCurCd,The code of currency used for local country reporting requirements  (in accordance with ISO 4217).Shall match the Currency_Code [CurCd] in the BAS_Currency [BasCur] table.,BAS CURRENCY,Currency Code
534,AR,AR04,AR65,ASBIE,1,0..4,AR Adjustment,Specified,,Tax,,,Tax,Tax information.,,
535,AR,AR65,01,RFBIE,2,0..1,Tax,Tax Type Code,,,Tax Type,TAX TYPE CODE,TaxTypCd,The code of Tax type. Shall match the Tax_Type_Code [TaxTypCd] in the BAS_Tax_Type [BasTaxTyp] table.,BAS TAX TYPE,Tax Type Code
536,AR,AR65,02,BBIE,2,0..1,Tax,Tax Local Amount,Monatary Amount,,,AMOUNT,TaxLocAmt,The amount of Tax included in the transaction. Recorded in local currency.,,
537,AR,AR65,03,RFBIE,2,0..1,Tax,GL Tax Debit Account Number,,,Chart Of Accounts,GL ACCOUNT NUMBER 100,GlTaxDbAcntNr,The GL account number on which the debit side of the Tax transaction has been posted. Shall match the GL_Account_Number [GlAcntNr] in the BAS_Chart_Of_Accounts [BasChartOfAcnts] table.,BAS CHART OF ACCOUNTS,GL Account Number
538,AR,AR65,04,RFBIE,2,0..1,Tax,GL Tax Credit Account Number,,,Chart Of Accounts,GL ACCOUNT NUMBER 100,GlTaxCrAcntNr,The GL account number on which the credit side of the Tax transaction has been posted. Shall match the GL_Account_Number [GlAcntNr] in the BAS_Chart_Of_Accounts [BasChartOfAcnts] table.,BAS CHART OF ACCOUNTS,GL Account Number
539,AR,AR04,AR66,ASBIE,1,0..1,AR Adjustment,Specified,,Created,,,Crea,Information about the data that was created into the system.,,
540,AR,AR66,01,RFBIE,2,0..1,Created,User ID,,,User,IDENTIFIER 25,UserId,The unique identifier for the person who did the activity. Typically auto-generated by the system. Shall match the User_ID [UserId] in the BAS_User [BasUser] table.,BAS USER,User ID
541,AR,AR66,02,BBIE,2,0..1,Created,Date,Date,,,DATE,Dt,"The date of activity. This should be a system generated date (rather than user-created date), when possible. This is sometimes referred to as the creation date.",,
542,AR,AR66,03,BBIE,2,0..1,Created,Time,Time,,,TIME,Tm,The time of activity.,,
543,AR,AR04,AR67,ASBIE,1,0..1,AR Adjustment,Specified,,Approved,,,Aprv,Information about the data was approved within the system.,,
544,AR,AR67,01,RFBIE,2,0..1,Approved,User ID,,,User,IDENTIFIER 25,UserId,The unique identifier for the person who did the activity. Typically auto-generated by the system. Shall match the User_ID [UserId] in the BAS_User [BasUser] table.,BAS USER,User ID
545,AR,AR67,02,BBIE,2,0..1,Approved,Date,Date,,,DATE,Dt,"The date of activity. This should be a system generated date (rather than user-created date), when possible. This is sometimes referred to as the creation date.",,
546,AR,AR67,03,BBIE,2,0..1,Approved,Time,Time,,,TIME,Tm,The time of activity.,,
547,AR,AR04,AR68,ASBIE,1,0..1,AR Adjustment,Specified,,Last Modified,,,LstMdf,Information about the data was  last modified within the system.,,
548,AR,AR68,01,RFBIE,2,0..1,Last Modified,User ID,,,User,IDENTIFIER 25,UserId,The unique identifier for the person who did the activity. Typically auto-generated by the system. Shall match the User_ID [UserId] in the BAS_User [BasUser] table.,BAS USER,User ID
549,AR,AR68,02,BBIE,2,0..1,Last Modified,Date,Date,,,DATE,Dt,"The date of activity. This should be a system generated date (rather than user-created date), when possible. This is sometimes referred to as the creation date.",,
550,AR,AR68,03,BBIE,2,0..1,Last Modified,Time,Time,,,TIME,Tm,The time of activity.,,
551,AR,AR04,AR69,ASBIE,1,0..n,AR Adjustment,Specified,,Business Segment,,,BusSg,Contains associated Business Segment information.,,
552,AR,AR69,01,BBIE,2,0..1,Business Segment,Sequence Number,Code,,,TEXT 60,SqNr,Number or text to keep the Business Segments in a predefined order.,,
553,AR,AR69,02,RFBIE,2,0..1,Business Segment,Business Segment Code,,,Business Segment,IDENTIFIER 25,BusSgCd,Contains a code to identify the associated business segment. Must match the Business_Segment_Code [BusSgCd] in BAS_Business_Segment [BasBusSg].,BAS BUSINESS SEGMENT,Business Segment Code
554,AR,AR04,AR70,ASBIE,1,1..n,AR Adjustment,Specified,,AR Adjustment Details,,,ArAdjDtls,Contains line item details for the invoices included in the AR_Adjustments [ArAdj].,,
555,AR,AR70,01,RFBIE,2,1..1,AR Adjustment Details,Adjustment ID,,,AR Adjustment,IDENTIFIER 100,AdjId,Unique identifier for the adjustment of a record.Typically auto-generated by the system.Shall match the Adjustment_ID [AdjId] in the AR_Adjustments [ArAdj] table.,AR ADJUSTMENT,Adjustment ID
556,AR,AR70,02,PKBIE,2,1..1,AR Adjustment Details,Adjustment Line ID,Identifier,,,IDENTIFIER 60,AdjLnId,Unique identifier for the adjustment line.Typically auto-generated by the system.,,
557,AR,AR70,03,BBIE,2,0..1,AR Adjustment Details,Adjustment Line Number,Code,,,TEXT 10,AdjLnNr,Number of the line item of the adjustment of record.This number is generated either by manual input or by the system.,,
558,AR,AR70,04,RFBIE,2,0..1,AR Adjustment Details,Invoice ID,,,Invoice Generated,IDENTIFIER 60,InvoiId,"Unique identifier for the invoice, from which AR is derived.Typically auto-generated by the system.This field represents the invoice to which the adjustment is applied, if relevant.May be set to NULL if the adjustment is at the customer (not invoice) level. Otherwise shall match the Invoice_ID [InvoiId] in the SAL_Invoices_Generated_Details [SalInvoiGenDtls] table.",SAL INVOICE GENERATED,Invoice ID
559,AR,AR70,05,RFBIE,2,0..1,AR Adjustment Details,Invoice Line ID,,,Invoice Generated Details,IDENTIFIER 60,InvoiLnId,Unique identifier for the invoice line.Typically auto-generated by the system.May be set to NULL if adjustment is at the customer (not invoice) level. Otherwise shall match the Invoice_Line_ID [InvoiLnId] in the SAL_Invoices_Generated_Details [SalInvoiGenDtls] table.,SAL INVOICE GENERATED DETAILS,Invoice Line ID
560,AR,AR70,06,RFBIE,2,0..1,AR Adjustment Details,Journal ID,,,GL Details,IDENTIFIER 100,JrnId,Unique identifier for journal entry.Typically auto-generated by the system.Shall match the Journal_ID [JrnId] in the GL_Details [GlDtls] table.,GL DETAILS,Journal ID
561,AR,AR70,07,RFBIE,2,0..1,AR Adjustment Details,GL Debit Account Number,,,Chart Of Accounts,GL ACCOUNT NUMBER 100,GlDbAcntNr,Number of the GL account on which the debit side of the transaction has been posted.Shall match the GL_Account_Number [GlAcntNr] in the BAS_Chart_Of_Accounts [BasChartOfAcnts] table.,BAS CHART OF ACCOUNTS,GL Account Number
562,AR,AR70,08,RFBIE,2,0..1,AR Adjustment Details,GL Credit Account Number,,,Chart Of Accounts,GL ACCOUNT NUMBER 100,GlCrAcntNr,Number of the GL account on which the credit side of the transaction has been posted.Shall match the GL_Account_Number [GlAcntNr] in the BAS_Chart_Of_Accounts [BasChartOfAcnts] table.,BAS CHART OF ACCOUNTS,GL Account Number
563,AR,AR70,AR71,ASBIE,2,0..1,AR Adjustment Details,Specified,,Adjustment Amount,,,AdjAmt,"Related adjustment amount expressed in functional, transaction, reporting and local currency.",,
564,AR,AR71,01,BBIE,3,0..1,Adjustment Amount,Functional Amount,Monatary Amount,,,AMOUNT,FuncAmt,Amount recorded in the functional or group currency.,,
565,AR,AR71,02,RFBIE,3,0..1,Adjustment Amount,Functional Currency Code,,,Currency,CURRENCY CODE,FuncCurCd,Code of the functional or group currency (in accordance with ISO 4217).Shall match the Currency_Code [CurCd] in the BAS_Currency [BasCur] table.,BAS CURRENCY,Currency Code
566,AR,AR71,03,BBIE,3,0..1,Adjustment Amount,Transaction Amount,Monatary Amount,,,AMOUNT,TrAmt,Amount recorded in the transaction currency.,,
567,AR,AR71,04,RFBIE,3,0..1,Adjustment Amount,Transaction Currency Code,,,Currency,CURRENCY CODE,TrCurCd,The code of currency used in the actual transaction (in accordance with ISO 4217).Shall match the Currency_Code [CurCd] in the BAS_Currency [BasCur] table.,BAS CURRENCY,Currency Code
568,AR,AR71,05,BBIE,3,0..1,Adjustment Amount,Reporting Amount,Monatary Amount,,,AMOUNT,RprtAmt,Amount recorded in the reporting currency.,,
569,AR,AR71,06,RFBIE,3,0..1,Adjustment Amount,Reporting Currency Code,,,Currency,CURRENCY CODE,RprtCurCd,The code of currency used for non-consolidated reporting (in accordance with ISO 4217).Shall match the Currency_Code [CurCd] in the BAS_Currency [BasCur] table.,BAS CURRENCY,Currency Code
570,AR,AR71,07,BBIE,3,0..1,Adjustment Amount,Local Amount,Monatary Amount,,,AMOUNT,LocAmt,Amount recorded in the local currency.,,
571,AR,AR71,08,RFBIE,3,0..1,Adjustment Amount,Local Currency Code,,,Currency,CURRENCY CODE,LocCurCd,The code of currency used for local country reporting requirements  (in accordance with ISO 4217).Shall match the Currency_Code [CurCd] in the BAS_Currency [BasCur] table.,BAS CURRENCY,Currency Code
572,AR,AR70,AR72,ASBIE,2,0..4,AR Adjustment Details,Specified,,Tax,,,Tax,Tax information.,,
573,AR,AR72,01,RFBIE,3,0..1,Tax,Tax Type Code,,,Tax Type,TAX TYPE CODE,TaxTypCd,The code of Tax type. Shall match the Tax_Type_Code [TaxTypCd] in the BAS_Tax_Type [BasTaxTyp] table.,BAS TAX TYPE,Tax Type Code
574,AR,AR72,02,BBIE,3,0..1,Tax,Tax Local Amount,Monatary Amount,,,AMOUNT,TaxLocAmt,The amount of Tax included in the transaction. Recorded in local currency.,,
575,AR,AR72,03,RFBIE,3,0..1,Tax,GL Tax Debit Account Number,,,Chart Of Accounts,GL ACCOUNT NUMBER 100,GlTaxDbAcntNr,The GL account number on which the debit side of the Tax transaction has been posted. Shall match the GL_Account_Number [GlAcntNr] in the BAS_Chart_Of_Accounts [BasChartOfAcnts] table.,BAS CHART OF ACCOUNTS,GL Account Number
576,AR,AR72,04,RFBIE,3,0..1,Tax,GL Tax Credit Account Number,,,Chart Of Accounts,GL ACCOUNT NUMBER 100,GlTaxCrAcntNr,The GL account number on which the credit side of the Tax transaction has been posted. Shall match the GL_Account_Number [GlAcntNr] in the BAS_Chart_Of_Accounts [BasChartOfAcnts] table.,BAS CHART OF ACCOUNTS,GL Account Number
577,AR,AR70,AR73,ASBIE,2,0..n,AR Adjustment Details,Specified,,Business Segment,,,BusSg,Contains associated Business Segment information.,,
578,AR,AR73,01,BBIE,3,0..1,Business Segment,Sequence Number,Code,,,TEXT 60,SqNr,Number or text to keep the Business Segments in a predefined order.,,
579,AR,AR73,02,RFBIE,3,0..1,Business Segment,Business Segment Code,,,Business Segment,IDENTIFIER 25,BusSgCd,Contains a code to identify the associated business segment. Must match the Business_Segment_Code [BusSgCd] in BAS_Business_Segment [BasBusSg].,BAS BUSINESS SEGMENT,Business Segment Code
580,Sales,SL01,,ABIE,0,--,Sales Contract,,,,,,SalContr,"Contains summary information of sales contracts placed during the period under review. In situations where companies only require sales orders, the sales contract(s) may not always be available.",,
581,Sales,SL01,01,PKBIE,1,1..1,Sales Contract,Contract ID,Identifier,,,IDENTIFIER 60,ContrId,Unique identifier for the contract.Typically auto-generated by the system.,,
582,Sales,SL01,02,BBIE,1,0..1,Sales Contract,Contract Number,Code,,,TEXT 80,ContrNr,Number of the contract.This number is generated either by manual input or generated by the system.,,
583,Sales,SL01,03,BBIE,1,0..1,Sales Contract,Contract Type Name,Text,,,TEXT 80,ContrTypNm,"Name of the contract type used in sales and purchase activities.EXAMPLE  Framework agreement, short-term contract.EXAMPLE  Business agreement, quantity contract, value contract, price contract.",,
584,Sales,SL01,04,BBIE,1,0..1,Sales Contract,Contract Beginning Date,Date,,,DATE,ContrBegDt,Beginning date of the contract.,,
585,Sales,SL01,05,BBIE,1,0..1,Sales Contract,Contract Ending Date,Date,,,DATE,ContrEndDt,Ending date of the contract.,,
586,Sales,SL01,06,RFBIE,1,0..1,Sales Contract,Customer Account ID,,,Customer,IDENTIFIER 100,CustAcntId,Unique identifier for the receiving customer.Typically auto-generated by the system.Shall match the Customer_Account_ID [CustAcntId] in the BAS_Customer [BasCust] table.,BAS CUSTOMER,Customer Account ID
587,Sales,SL01,07,RFBIE,1,0..1,Sales Contract,Sales Organization Code,,,Business Segment,IDENTIFIER 25,SalOrgCd,Unique code of the sales organization that signed the contract.Shall match the Business_Segment_Code [BusSgCd] in the BAS_Business_Segment [BasBusSg] table.,BAS BUSINESS SEGMENT,Business Segment Code
588,Sales,SL01,08,RFBIE,1,0..1,Sales Contract,Salesperson ID,,,Employee,IDENTIFIER 60,SalprsnId,Unique identifier for the salesperson.Shall match the Employee_ID [EmpId] in the BAS_Employee [BasEmp] table.,BAS EMPLOYEE,Employee ID
589,Sales,SL01,09,RFBIE,1,0..1,Sales Contract,Settlement Method Code,,,Settlement Method,IDENTIFIER 60,SetlMthdCd,"Code value or indicator for the method by which the transaction debit or credit amount was settled or apportioned by the customer or the supplier.EXAMPLE   Check, wire transfer, cash.Shall match the Settlement_Method_Code [SetlMthdCd] in the BAS_Settlement_Method [BasSetlMthd] table.",BAS SETTLEMENT METHOD,Settlement Method Code
590,Sales,SL01,10,RFBIE,1,0..1,Sales Contract,Payment Term Code,,,Payment Term,PAYMENT TERM CODE,PayTermCd,"Code for the payment term.EXAMPLE   Cash on delivery, payment 30 days after delivery date.Shall match the Payment_Term_Code [PayTermCd] in the BAS_Payment_Term [BasPayTerm] table.",BAS PAYMENT TERM,Payment Term Code
591,Sales,SL01,11,RFBIE,1,0..1,Sales Contract,Contract Transaction Currency Code,,,Currency,CURRENCY CODE,ContrTrCurCd,Transactional currency specified in the contract (in accordance with ISO 4217).Shall match the Currency_Code [CurCd] in the BAS_Currency [BasCur] table.,BAS CURRENCY,Currency Code
592,Sales,SL01,12,BBIE,1,0..1,Sales Contract,Status,Code,,,STATUS CODE,Stat,"Status of the contract.EXAMPLE   New, save, submit, frozen.",,
593,Sales,SL01,13,BBIE,1,0..1,Sales Contract,Remark,Text,,,TEXT 500,Rmrk,Free-form text description.,,
594,Sales,SL01,SL51,ASBIE,1,0..1,Sales Contract,Specified,,Created,,,Crea,Information about the data that was created into the system.,,
595,Sales,SL51,01,RFBIE,2,0..1,Created,User ID,,,User,IDENTIFIER 25,UserId,The unique identifier for the person who did the activity. Typically auto-generated by the system. Shall match the User_ID [UserId] in the BAS_User [BasUser] table.,BAS USER,User ID
596,Sales,SL51,02,BBIE,2,0..1,Created,Date,Date,,,DATE,Dt,"The date of activity. This should be a system generated date (rather than user-created date), when possible. This is sometimes referred to as the creation date.",,
597,Sales,SL01,SL52,ASBIE,1,0..1,Sales Contract,Specified,,Approved,,,Aprv,Information about the data was approved within the system.,,
598,Sales,SL52,01,RFBIE,2,0..1,Approved,User ID,,,User,IDENTIFIER 25,UserId,The unique identifier for the person who did the activity. Typically auto-generated by the system. Shall match the User_ID [UserId] in the BAS_User [BasUser] table.,BAS USER,User ID
599,Sales,SL01,SL53,ASBIE,1,0..n,Sales Contract,Specified,,Business Segment,,,BusSg,Contains associated Business Segment information.,,
600,Sales,SL53,01,BBIE,2,0..1,Business Segment,Sequence Number,Code,,,TEXT 60,SqNr,Number or text to keep the Business Segments in a predefined order.,,
601,Sales,SL53,02,RFBIE,2,0..1,Business Segment,Business Segment Code,,,Business Segment,IDENTIFIER 25,BusSgCd,Contains a code to identify the associated business segment. Must match the Business_Segment_Code [BusSgCd] in BAS_Business_Segment [BasBusSg].,BAS BUSINESS SEGMENT,Business Segment Code
602,Sales,SL01,SL54,ASBIE,1,1..n,Sales Contract,Specified,,Sales Contract Details,,,SalContrDtls,"Contains line item details for the sales contracts. Each line includes product, quantity, customer, price per unit and trading amount.",,
603,Sales,SL54,01,RFBIE,2,1..1,Sales Contract Details,Contract ID,,,Sales Contract,IDENTIFIER 60,ContrId,Unique identifier for the contract.Typically auto-generated by the system.Shall match the Contract_ID [ContrId] in the Sales or Purchase Contracts table.,SAL CONTRACT,Contract ID
604,Sales,SL54,02,PKBIE,2,1..1,Sales Contract Details,Contract Line ID,Identifier,,,IDENTIFIER 60,ContrLnId,"Unique identifier for the sales or purchase contract line.Typically auto-generated by the system.One purchase contract may contain more than one material and each material may be described by a line of the contract (e.g. including contract ID, date, serial number).",,
605,Sales,SL54,03,BBIE,2,0..1,Sales Contract Details,Contract Line Number,Code,,,TEXT 10,ContrLnNr,"Number of a contract line.This number is usually generated by manual input or is system-generated (e.g. including contract ID, date, serial number).",,
606,Sales,SL54,04,RFBIE,2,0..1,Sales Contract Details,Settlement Organization Code,,,Business Segment,IDENTIFIER 25,SetlOrgCd,Unique code of the settlement organization.Shall match the Business_Segment_Code [BusSgCd] in the BAS_Business_Segment [BasBusSg] table.,BAS BUSINESS SEGMENT,Business Segment Code
607,Sales,SL54,05,RFBIE,2,0..1,Sales Contract Details,Dispatch Organization Code,,,Business Segment,IDENTIFIER 25,DispOrgCd,Unique code of the dispatch organization.The dispatch unit refers to the unit who send out goods belonging to the seller.Shall match the Business_Segment_Code [BusSgCd] in the Business_Segment_Master table.,BAS BUSINESS SEGMENT,Business Segment Code
608,Sales,SL54,06,RFBIE,2,0..1,Sales Contract Details,Product ID,,,Inventory Product,IDENTIFIER 75,PrdctId,Unique identifier for the product.Typically auto-generated by the system.Shall match the Inventory_Product_ID [InvPrdctId] in the INV_Product [InvPrdct] table.,INV PRODUCT,Inventory Product ID
609,Sales,SL54,07,BBIE,2,0..1,Sales Contract Details,Contract Quantity,Quantity,,,QUANTITY,ContrQt,Quantity of the product or materials in the contract.,,
610,Sales,SL54,08,RFBIE,2,0..1,Sales Contract Details,UOM Code,,,Measurement Unit,MEASUREMENT UNIT CODE,UomCd,Code for the measurement unit for the product or materials.Shall match the UOM_Code [UomCd] in the BAS_Measurement_Unit [BasMeaUnit] table.,BAS MEASUREMENT UNIT,UOM Code
611,Sales,SL54,09,BBIE,2,0..1,Sales Contract Details,Tax Exclude Unit Price,Unit Price Amount,,,PRICE,TaxExclUnitPrice,Unit price (excluding tax) in transaction currency.,,
612,Sales,SL54,10,BBIE,2,0..1,Sales Contract Details,Tax Include Unit Price,Unit Price Amount,,,PRICE,TaxInclUnitPrice,Unit price (including tax) in transaction currency.,,
613,Sales,SL54,11,BBIE,2,0..1,Sales Contract Details,Tax Exclude Amount,Monatary Amount,,,AMOUNT,TaxExclAmt,Amount (excluding tax) in transaction currency.,,
614,Sales,SL54,12,BBIE,2,0..1,Sales Contract Details,Tax Include Amount,Monatary Amount,,,AMOUNT,TaxInclAmt,Amount (including tax) in transaction currency.,,
615,Sales,SL54,13,BBIE,2,0..1,Sales Contract Details,Due Date,Date,,,DATE,DueDt,"Last requested delivery of the products or materials.When an order is delivered in multiple batches, this field refers to the time for the delivery of the last batch.",,
616,Sales,SL54,14,BBIE,2,0..1,Sales Contract Details,Status,Code,,,STATUS CODE,Stat,"Status of the contract.EXAMPLE   New, save, submit, frozen.",,
617,Sales,SL54,SL55,ASBIE,2,0..4,Sales Contract Details,Specified,,Tax,,,Tax,Tax information.,,
618,Sales,SL55,01,RFBIE,3,0..1,Tax,Tax Type Code,,,Tax Type,TAX TYPE CODE,TaxTypCd,The code of Tax type. Shall match the Tax_Type_Code [TaxTypCd] in the BAS_Tax_Type [BasTaxTyp] table.,BAS TAX TYPE,Tax Type Code
619,Sales,SL55,02,BBIE,3,0..1,Tax,Tax Transaction Amount,Monatary Amount,,,AMOUNT,TaxTrAmt,The amount of Tax included in the transaction. Recorded in transaction currency.,,
620,Sales,SL54,SL56,ASBIE,2,0..n,Sales Contract Details,Specified,,Business Segment,,,BusSg,Contains associated Business Segment information.,,
621,Sales,SL56,01,BBIE,3,0..1,Business Segment,Sequence Number,Code,,,TEXT 60,SqNr,Number or text to keep the Business Segments in a predefined order.,,
622,Sales,SL56,02,RFBIE,3,0..1,Business Segment,Business Segment Code,,,Business Segment,IDENTIFIER 25,BusSgCd,Contains a code to identify the associated business segment. Must match the Business_Segment_Code [BusSgCd] in BAS_Business_Segment [BasBusSg].,BAS BUSINESS SEGMENT,Business Segment Code
623,Sales,SL02,,ABIE,0,--,Sales Order,,,,,,SalOrd,"Contains summary information of sales orders pertinent to orders placed during the period under review. Sales orders are included in the three-way match procedures, which control the decision process for AR entries.",,
624,Sales,SL02,01,PKBIE,1,1..1,Sales Order,Order ID,Identifier,,,IDENTIFIER 100,OrdId,Unique identifier for the order.Typically auto-generated by the system.,,
625,Sales,SL02,02,BBIE,1,0..1,Sales Order,Order Number,Code,,,IDENTIFIER 100,OrdNr,Number of the order.This number is generated either by manual input or generated by the system.,,
626,Sales,SL02,03,RFBIE,1,0..1,Sales Order,Fiscal Year,,,Accounting Period,YEAR IDENTIFIER,FiscYr,"Fiscal year in which the Order_Date [OrdDt] occurs.The year shall be shown in four digits as YYYY, which is part of the extended format and the YYYY-MM-DD from ISO 8601-1.Shall match the Fiscal_Year [FiscYr] in the BAS_Accounting_Period [BasAcntingPer] table.",BAS ACCOUNTING PERIOD,Fiscal Year
627,Sales,SL02,04,RFBIE,1,0..1,Sales Order,Accounting Period,,,Accounting Period,PERIOD IDENTIFIER,AcntingPer,"Accounting period in which the Order_Date [OrdDt] occurs.EXAMPLE   W1-W53 for weekly periods, M1-M12 for monthly periods, Q1-Q4 for quarterly periods, from any beginning date to any ending date.Shall match the Accounting_Period [AcntingPer] in the BAS_Accounting_Period [BasAcntingPer] table.",BAS ACCOUNTING PERIOD,Accounting Period
628,Sales,SL02,05,BBIE,1,0..1,Sales Order,Order Type Name,Code,,,TEXT 80,OrdTypNm,"Name of the order type in sales or purchase activities.The types of sales orders are usually allocated by users of the system according to different business needs.EXAMPLE   Some enterprises are configured as non-contract orders, trial orders, factory orders and store orders.EXAMPLE   Ordinary purchasing, outsourcing parts, process outsourcing.",,
629,Sales,SL02,06,BBIE,1,0..1,Sales Order,Order Date,Date,,,DATE,OrdDt,"Date of the purchase order and date of signing of the sales order.It is the effective date of the order, not the system created date. The order of a certain period is counted based on the effective date.",,
630,Sales,SL02,07,RFBIE,1,0..1,Sales Order,Organization Code,,,Business Segment,IDENTIFIER 25,OrgCd,Unique code of the sales of purchase organization that signed the order.Shall match the Business_Segment_Code [BusSgCd] in the BAS_Business_Segment [BasBusSg] table.,BAS BUSINESS SEGMENT,Business Segment Code
