d_A025,d_A026,d_A001,A025-001,A025-A026-008,A025-A026-007,A025-A027-002,I,A026-A076-001,A026-A076-002,A026-A076-003,A025-A001-001,A025-A001-002,A025-A001-003,P,Q,R,S,A026-014,A026-012,A026-011,A025-009,A025-002,Y,A026-003,A026-A009-002,A026-A009-005,A026-A009-003,A026-A009-007,A026-A009-006,A026-027,A026-A089-001,A026-A089-002,A026-006,A026-013,AM,A026-010,A026-A001-001,A026-A001-002,A026-A001-003,A026-A001-004,
0001-20090430-277-219-1-899,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,152,Accounts receivable,account,,,,debit,1025329,ISO4217:JPY,2009-04-30,proposed,AccountsReceivableTradeGross,09年4月1日～09年4月30日分売上,26,佐々木販売㈱,,customer,
0001-20090430-277-219-1-899,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090430-277-219-1-899,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,152,Accounts receivable,account,,,,debit,1160090,ISO4217:JPY,2009-04-30,proposed,AccountsReceivableTradeGross,09年4月1日～09年4月30日分売上,30,㈱YAG,,customer,
0001-20090430-277-219-1-899,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090430-277-219-1-899,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,511,Sales,account,,,,credit,1104852,ISO4217:JPY,2009-04-30,proposed,MerchandiseSalesGross,09年4月1日～09年4月30日分売上,,,,,
0001-20090430-277-219-1-899,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Tokyo,20,Department,,,,,,,,,,,,
0001-20090430-277-219-1-899,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,335,Provisional receipt consumption tax,account,,,,credit,55238,ISO4217:JPY,2009-04-30,tax,SuspenseReceiptConsumptionTaxes,,,,,,
0001-20090430-277-219-1-899,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Tokyo,20,Department,,,,,,,,,,,,
0001-20090430-277-219-1-899,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,152,Accounts receivable,account,,,,debit,74257,ISO4217:JPY,2009-04-30,proposed,AccountsReceivableTradeGross,09年4月1日～09年4月30日分売上,13,阿部商事㈱,,customer,
0001-20090430-277-219-1-899,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090430-277-219-1-899,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,521,Sales discount amount,account,,,,credit,70720,ISO4217:JPY,2009-04-30,proposed,MerchandiseSalesReturnsAllowances,09年4月1日～09年4月30日分売上,,,,,
0001-20090430-277-219-1-899,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Tokyo,20,Department,,,,,,,,,,,,
0001-20090430-277-219-1-899,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,335,Provisional receipt consumption tax,account,,,,credit,3537,ISO4217:JPY,2009-04-30,tax,SuspenseReceiptConsumptionTaxes,,,,,,
0001-20090430-277-219-1-899,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Tokyo,20,Department,,,,,,,,,,,,
0001-20090430-277-219-1-899,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,152,Accounts receivable,account,,,,debit,377730,ISO4217:JPY,2009-04-30,proposed,AccountsReceivableTradeGross,09年4月1日～09年4月30日分売上,10,(同)ｴｲﾑ商事,,customer,
0001-20090430-277-219-1-899,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090430-277-219-1-899,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,511,Sales,account,,,,credit,359744,ISO4217:JPY,2009-04-30,proposed,MerchandiseSalesGross,09年4月1日～09年4月30日分売上,,,,,
0001-20090430-277-219-1-899,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Tokyo,20,Department,,,,,,,,,,,,
0001-20090430-277-219-1-899,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,335,Provisional receipt consumption tax,account,,,,credit,17986,ISO4217:JPY,2009-04-30,tax,SuspenseReceiptConsumptionTaxes,,,,,,
0001-20090430-277-219-1-899,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Tokyo,20,Department,,,,,,,,,,,,
0001-20090430-277-219-1-899,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,152,Accounts receivable,account,,,,debit,40672,ISO4217:JPY,2009-04-30,proposed,AccountsReceivableTradeGross,09年4月1日～09年4月30日分売上,12,もみじﾃﾞﾊﾟｰﾄ,,customer,
0001-20090430-277-219-1-899,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090430-277-219-1-899,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,521,Sales discount amount,account,,,,credit,38736,ISO4217:JPY,2009-04-30,proposed,MerchandiseSalesReturnsAllowances,09年4月1日～09年4月30日分売上,,,,,
0001-20090430-277-219-1-899,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Tokyo,20,Department,,,,,,,,,,,,
0001-20090430-277-219-1-899,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,335,Provisional receipt consumption tax,account,,,,credit,1936,ISO4217:JPY,2009-04-30,tax,SuspenseReceiptConsumptionTaxes,,,,,,
0001-20090430-277-219-1-899,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Tokyo,20,Department,,,,,,,,,,,,
0001-20090430-277-219-1-899,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,152,Accounts receivable,account,,,,debit,451533,ISO4217:JPY,2009-04-30,proposed,AccountsReceivableTradeGross,09年4月1日～09年4月30日分売上,24,㈱畠山商事,,customer,
0001-20090430-277-219-1-899,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090430-277-219-1-899,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,511,Sales,account,,,,credit,430032,ISO4217:JPY,2009-04-30,proposed,MerchandiseSalesGross,09年4月1日～09年4月30日分売上,,,,,
0001-20090430-277-219-1-899,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Tokyo,20,Department,,,,,,,,,,,,
0001-20090430-277-219-1-899,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,335,Provisional receipt consumption tax,account,,,,credit,21501,ISO4217:JPY,2009-04-30,tax,SuspenseReceiptConsumptionTaxes,,,,,,
0001-20090430-277-219-1-899,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Tokyo,20,Department,,,,,,,,,,,,
0001-20090430-278-220-1-901,,,,entries,220-901,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,ISO693:ja,,pca,2012-12-26T17:38:02,1,Example Co.,,Example Co.,"1-2-21 Fujimi, Chiyoda-ku, Tokyo",102-8171,Japan,2008-08-19,manual,gj,General,278,standard,,,,,,,,,,,,,,,,,,
0001-20090430-278-220-1-901,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,152,Accounts receivable,account,,,,debit,1107126,ISO4217:JPY,2009-04-30,proposed,AccountsReceivableTradeGross,09年4月1日～09年4月30日分売上,6,㈱ｴﾝﾄﾘｰ,,customer,
0001-20090430-278-220-1-901,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090430-278-220-1-901,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,511,Sales,account,,,,credit,1054408,ISO4217:JPY,2009-04-30,proposed,MerchandiseSalesGross,09年4月1日～09年4月30日分売上,,,,,
0001-20090430-278-220-1-901,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Nagoya,30,Department,,,,,,,,,,,,
0001-20090430-278-220-1-901,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,335,Provisional receipt consumption tax,account,,,,credit,52718,ISO4217:JPY,2009-04-30,tax,SuspenseReceiptConsumptionTaxes,,,,,,
0001-20090430-278-220-1-901,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Nagoya,30,Department,,,,,,,,,,,,
0001-20090430-278-220-1-901,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,152,Accounts receivable,account,,,,debit,1308888,ISO4217:JPY,2009-04-30,proposed,AccountsReceivableTradeGross,09年4月1日～09年4月30日分売上,7,㈱総合経営,,customer,
0001-20090430-278-220-1-901,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090430-278-220-1-901,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,511,Sales,account,,,,credit,1246560,ISO4217:JPY,2009-04-30,proposed,MerchandiseSalesGross,09年4月1日～09年4月30日分売上,,,,,
0001-20090430-278-220-1-901,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Nagoya,30,Department,,,,,,,,,,,,
0001-20090430-278-220-1-901,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,335,Provisional receipt consumption tax,account,,,,credit,62328,ISO4217:JPY,2009-04-30,tax,SuspenseReceiptConsumptionTaxes,,,,,,
0001-20090430-278-220-1-901,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Nagoya,30,Department,,,,,,,,,,,,
0001-20090430-278-220-1-901,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,152,Accounts receivable,account,,,,debit,1323311,ISO4217:JPY,2009-04-30,proposed,AccountsReceivableTradeGross,09年4月1日～09年4月30日分売上,14,㈱藤田,,customer,
0001-20090430-278-220-1-901,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090430-278-220-1-901,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,511,Sales,account,,,,credit,1260302,ISO4217:JPY,2009-04-30,proposed,MerchandiseSalesGross,09年4月1日～09年4月30日分売上,,,,,
0001-20090430-278-220-1-901,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Nagoya,30,Department,,,,,,,,,,,,
0001-20090430-278-220-1-901,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,335,Provisional receipt consumption tax,account,,,,credit,63009,ISO4217:JPY,2009-04-30,tax,SuspenseReceiptConsumptionTaxes,,,,,,
0001-20090430-278-220-1-901,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Nagoya,30,Department,,,,,,,,,,,,
0001-20090430-278-220-1-901,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,152,Accounts receivable,account,,,,debit,859855,ISO4217:JPY,2009-04-30,proposed,AccountsReceivableTradeGross,09年4月1日～09年4月30日分売上,19,㈱ﾐﾅﾐ,,customer,
0001-20090430-278-220-1-901,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090430-278-220-1-901,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,511,Sales,account,,,,credit,818910,ISO4217:JPY,2009-04-30,proposed,MerchandiseSalesGross,09年4月1日～09年4月30日分売上,,,,,
0001-20090430-278-220-1-901,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Nagoya,30,Department,,,,,,,,,,,,
0001-20090430-278-220-1-901,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,335,Provisional receipt consumption tax,account,,,,credit,40945,ISO4217:JPY,2009-04-30,tax,SuspenseReceiptConsumptionTaxes,,,,,,
0001-20090430-278-220-1-901,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Nagoya,30,Department,,,,,,,,,,,,
0001-20090430-278-220-1-901,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,152,Accounts receivable,account,,,,debit,888043,ISO4217:JPY,2009-04-30,proposed,AccountsReceivableTradeGross,09年4月1日～09年4月30日分売上,21,(同)たかだ,,customer,
0001-20090430-278-220-1-901,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090430-278-220-1-901,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,511,Sales,account,,,,credit,845757,ISO4217:JPY,2009-04-30,proposed,MerchandiseSalesGross,09年4月1日～09年4月30日分売上,,,,,
0001-20090430-278-220-1-901,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Nagoya,30,Department,,,,,,,,,,,,
0001-20090430-278-220-1-901,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,335,Provisional receipt consumption tax,account,,,,credit,42286,ISO4217:JPY,2009-04-30,tax,SuspenseReceiptConsumptionTaxes,,,,,,
0001-20090430-278-220-1-901,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Nagoya,30,Department,,,,,,,,,,,,
0001-20090430-278-220-1-901,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,152,Accounts receivable,account,,,,debit,928100,ISO4217:JPY,2009-04-30,proposed,AccountsReceivableTradeGross,09年4月1日～09年4月30日分売上,27,岩下物産㈱,,customer,
0001-20090430-278-220-1-901,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090430-278-220-1-901,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,511,Sales,account,,,,credit,883909,ISO4217:JPY,2009-04-30,proposed,MerchandiseSalesGross,09年4月1日～09年4月30日分売上,,,,,
0001-20090430-278-220-1-901,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Nagoya,30,Department,,,,,,,,,,,,
0001-20090430-278-220-1-901,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,335,Provisional receipt consumption tax,account,,,,credit,44191,ISO4217:JPY,2009-04-30,tax,SuspenseReceiptConsumptionTaxes,,,,,,
0001-20090430-278-220-1-901,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Nagoya,30,Department,,,,,,,,,,,,
0001-20090430-278-220-1-901,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,152,Accounts receivable,account,,,,debit,35700,ISO4217:JPY,2009-04-30,proposed,AccountsReceivableTradeGross,09年4月1日～09年4月30日分売上,6,㈱ｴﾝﾄﾘｰ,,customer,
0001-20090430-278-220-1-901,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090430-278-220-1-901,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,521,Sales discount amount,account,,,,credit,34000,ISO4217:JPY,2009-04-30,proposed,MerchandiseSalesReturnsAllowances,09年4月1日～09年4月30日分売上,,,,,
0001-20090430-278-220-1-901,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Nagoya,30,Department,,,,,,,,,,,,
0001-20090430-278-220-1-901,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,335,Provisional receipt consumption tax,account,,,,credit,1700,ISO4217:JPY,2009-04-30,tax,SuspenseReceiptConsumptionTaxes,,,,,,
0001-20090430-278-220-1-901,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Nagoya,30,Department,,,,,,,,,,,,
0001-20090430-279-221-1-903,,,,entries,221-903,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,ISO693:ja,,pca,2012-12-26T17:38:03,1,Example Co.,,Example Co.,"1-2-21 Fujimi, Chiyoda-ku, Tokyo",102-8171,Japan,2008-08-19,manual,gj,General,279,standard,,,,,,,,,,,,,,,,,,
0001-20090430-279-221-1-903,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,152,Accounts receivable,account,,,,debit,772875,ISO4217:JPY,2009-04-30,proposed,AccountsReceivableTradeGross,09年4月1日～09年4月30日分売上,3,㈱ﾁｪｯｸ,,customer,
0001-20090430-279-221-1-903,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090430-279-221-1-903,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,511,Sales,account,,,,credit,736072,ISO4217:JPY,2009-04-30,proposed,MerchandiseSalesGross,09年4月1日～09年4月30日分売上,,,,,
0001-20090430-279-221-1-903,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Osaka,40,Department,,,,,,,,,,,,
0001-20090430-279-221-1-903,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,335,Provisional receipt consumption tax,account,,,,credit,36803,ISO4217:JPY,2009-04-30,tax,SuspenseReceiptConsumptionTaxes,,,,,,
0001-20090430-279-221-1-903,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Osaka,40,Department,,,,,,,,,,,,
0001-20090430-279-221-1-903,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,152,Accounts receivable,account,,,,debit,1260806,ISO4217:JPY,2009-04-30,proposed,AccountsReceivableTradeGross,09年4月1日～09年4月30日分売上,4,ﾏｰｸﾏｰｹｯﾄ,,customer,
0001-20090430-279-221-1-903,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090430-279-221-1-903,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,511,Sales,account,,,,credit,1200768,ISO4217:JPY,2009-04-30,proposed,MerchandiseSalesGross,09年4月1日～09年4月30日分売上,,,,,
0001-20090430-279-221-1-903,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Osaka,40,Department,,,,,,,,,,,,
0001-20090430-279-221-1-903,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,335,Provisional receipt consumption tax,account,,,,credit,60038,ISO4217:JPY,2009-04-30,tax,SuspenseReceiptConsumptionTaxes,,,,,,
0001-20090430-279-221-1-903,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Osaka,40,Department,,,,,,,,,,,,
0001-20090430-279-221-1-903,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,152,Accounts receivable,account,,,,debit,990057,ISO4217:JPY,2009-04-30,proposed,AccountsReceivableTradeGross,09年4月1日～09年4月30日分売上,8,ﾀﾜｰ㈱,,customer,
0001-20090430-279-221-1-903,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090430-279-221-1-903,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,511,Sales,account,,,,credit,942912,ISO4217:JPY,2009-04-30,proposed,MerchandiseSalesGross,09年4月1日～09年4月30日分売上,,,,,
0001-20090430-279-221-1-903,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Osaka,40,Department,,,,,,,,,,,,
0001-20090430-279-221-1-903,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,335,Provisional receipt consumption tax,account,,,,credit,47145,ISO4217:JPY,2009-04-30,tax,SuspenseReceiptConsumptionTaxes,,,,,,
0001-20090430-279-221-1-903,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Osaka,40,Department,,,,,,,,,,,,
0001-20090430-279-221-1-903,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,152,Accounts receivable,account,,,,debit,1262654,ISO4217:JPY,2009-04-30,proposed,AccountsReceivableTradeGross,09年4月1日～09年4月30日分売上,9,高橋物産㈱,,customer,
0001-20090430-279-221-1-903,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090430-279-221-1-903,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,511,Sales,account,,,,credit,1202528,ISO4217:JPY,2009-04-30,proposed,MerchandiseSalesGross,09年4月1日～09年4月30日分売上,,,,,
0001-20090430-279-221-1-903,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Osaka,40,Department,,,,,,,,,,,,
0001-20090430-279-221-1-903,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,335,Provisional receipt consumption tax,account,,,,credit,60126,ISO4217:JPY,2009-04-30,tax,SuspenseReceiptConsumptionTaxes,,,,,,
0001-20090430-279-221-1-903,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Osaka,40,Department,,,,,,,,,,,,
0001-20090430-279-221-1-903,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,511,Sales,account,,,,credit,1526316,ISO4217:JPY,2009-04-30,proposed,MerchandiseSalesGross,09年4月1日～09年4月30日分売上,,,,,
0001-20090430-279-221-1-903,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Osaka,40,Department,,,,,,,,,,,,
0001-20090430-279-221-1-903,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,335,Provisional receipt consumption tax,account,,,,credit,76310,ISO4217:JPY,2009-04-30,tax,SuspenseReceiptConsumptionTaxes,,,,,,
0001-20090430-279-221-1-903,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Osaka,40,Department,,,,,,,,,,,,
0001-20090430-279-221-1-903,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,152,Accounts receivable,account,,,,debit,1602626,ISO4217:JPY,2009-04-30,proposed,AccountsReceivableTradeGross,09年4月1日～09年4月30日分売上,14,㈱藤田,,customer,
0001-20090430-279-221-1-903,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090430-279-221-1-903,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,152,Accounts receivable,account,,,,debit,1192885,ISO4217:JPY,2009-04-30,proposed,AccountsReceivableTradeGross,09年4月1日～09年4月30日分売上,20,㈱久城商事,,customer,
0001-20090430-279-221-1-903,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090430-279-221-1-903,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,511,Sales,account,,,,credit,1136086,ISO4217:JPY,2009-04-30,proposed,MerchandiseSalesGross,09年4月1日～09年4月30日分売上,,,,,
0001-20090430-279-221-1-903,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Osaka,40,Department,,,,,,,,,,,,
0001-20090430-279-221-1-903,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,335,Provisional receipt consumption tax,account,,,,credit,56799,ISO4217:JPY,2009-04-30,tax,SuspenseReceiptConsumptionTaxes,,,,,,
0001-20090430-279-221-1-903,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Osaka,40,Department,,,,,,,,,,,,
0001-20090430-279-221-1-903,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,152,Accounts receivable,account,,,,debit,729562,ISO4217:JPY,2009-04-30,proposed,AccountsReceivableTradeGross,09年4月1日～09年4月30日分売上,23,㈱鎌田商店,,customer,
0001-20090430-279-221-1-903,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090430-279-221-1-903,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,511,Sales,account,,,,credit,694821,ISO4217:JPY,2009-04-30,proposed,MerchandiseSalesGross,09年4月1日～09年4月30日分売上,,,,,
0001-20090430-279-221-1-903,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Osaka,40,Department,,,,,,,,,,,,
0001-20090430-279-221-1-903,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,335,Provisional receipt consumption tax,account,,,,credit,34741,ISO4217:JPY,2009-04-30,tax,SuspenseReceiptConsumptionTaxes,,,,,,
0001-20090430-279-221-1-903,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Osaka,40,Department,,,,,,,,,,,,
