d_A025,d_A026,d_A001,A026-A076-001,A026-A076-002,A026-014,A026-012,A026-011,A025-009,A026-A009-001,A026-A009-002,A026-A009-005,A026-A009-003,A026-A009-007,A026-A009-006,A026-027,A026-A089-001,A026-A089-002,A026-006,A026-010,A026-A001-001,A026-A001-002,A026-A001-003
0001-20090630-134-694-1-1849,27,,,,,,,,,,,,,,,,,,,6,㈱ﾊﾅﾀﾞ,trading partner
0001-20090630-134-694-1-1849,27,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-135-695-1-1851,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090630-135-695-1-1851,1,,,,,,,,541,Product purchase amount,account,,,,debit,131328,ISO4217:JPY,2009-06-30,09年6月1日～09年6月30日分仕入,,,
0001-20090630-135-695-1-1851,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-135-695-1-1851,2,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,6565,ISO4217:JPY,2009-06-30,,,,
0001-20090630-135-695-1-1851,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-135-695-1-1851,3,,,,,,,,312,Accounts payable,account,,,,credit,137893,ISO4217:JPY,2009-06-30,09年6月1日～09年6月30日分仕入,,,
0001-20090630-135-695-1-1851,3,,,,,,,,,,,,,,,,,,,2,㈱Pole,trading partner
0001-20090630-135-695-1-1851,3,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-135-695-1-1851,4,,,,,,,,541,Product purchase amount,account,,,,debit,47040,ISO4217:JPY,2009-06-30,09年6月1日～09年6月30日分仕入,,,
0001-20090630-135-695-1-1851,4,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-135-695-1-1851,5,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,2352,ISO4217:JPY,2009-06-30,,,,
0001-20090630-135-695-1-1851,5,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-135-695-1-1851,6,,,,,,,,312,Accounts payable,account,,,,credit,49392,ISO4217:JPY,2009-06-30,09年6月1日～09年6月30日分仕入,,,
0001-20090630-135-695-1-1851,6,,,,,,,,,,,,,,,,,,,8,㈱山下,trading partner
0001-20090630-135-695-1-1851,6,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-136-696-1-1853,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090630-136-696-1-1853,1,,,,,,,,312,Accounts payable,account,,,,debit,1295468,ISO4217:JPY,2009-06-30,09年6月30日伝票No161株式会社　Pole,,,
0001-20090630-136-696-1-1853,1,,,,,,,,,,,,,,,,,,,2,㈱Pole,trading partner
0001-20090630-136-696-1-1853,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-136-696-1-1853,2,,,,,,,,131,Ordinary deposit,account,,,,credit,1295468,ISO4217:JPY,2009-06-30,09年6月30日伝票No161株式会社　Pole,,,
0001-20090630-136-696-1-1853,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-136-696-1-1853,2,2,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-137-697-1-1855,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090630-137-697-1-1855,1,,,,,,,,791,Miscellaneous expenses,account,,,,debit,6000,ISO4217:JPY,2009-06-30,有線,,,
0001-20090630-137-697-1-1855,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-137-697-1-1855,2,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,300,ISO4217:JPY,2009-06-30,,,,
0001-20090630-137-697-1-1855,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-137-697-1-1855,3,,,,,,,,322,Credit card accounts payable,account,,,,credit,51300,ISO4217:JPY,2009-06-30,有線,,,
0001-20090630-137-697-1-1855,3,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-137-697-1-1855,4,,,,,,,,791,Miscellaneous expenses,account,,,,debit,42858,ISO4217:JPY,2009-06-30,警備料,,,
0001-20090630-137-697-1-1855,4,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-137-697-1-1855,5,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,2142,ISO4217:JPY,2009-06-30,,,,
0001-20090630-137-697-1-1855,5,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-137-697-1-1855,6,,,,,,,,740,Vehicle costs,account,,,,debit,50777,ISO4217:JPY,2009-06-30,高速料,,,
0001-20090630-137-697-1-1855,6,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-137-697-1-1855,7,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,2538,ISO4217:JPY,2009-06-30,,,,
0001-20090630-137-697-1-1855,7,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-137-697-1-1855,8,,,,,,,,131,Ordinary deposit,account,,,,credit,53315,ISO4217:JPY,2009-06-30,高速料,,,
0001-20090630-137-697-1-1855,8,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-137-697-1-1855,8,2,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-137-697-1-1855,9,,,,,,,,791,Miscellaneous expenses,account,,,,debit,70000,ISO4217:JPY,2009-06-30,清掃料,,,
0001-20090630-137-697-1-1855,9,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-137-697-1-1855,10,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,3500,ISO4217:JPY,2009-06-30,,,,
0001-20090630-137-697-1-1855,10,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-137-697-1-1855,11,,,,,,,,322,Credit card accounts payable,account,,,,credit,73500,ISO4217:JPY,2009-06-30,清掃料,,,
0001-20090630-137-697-1-1855,11,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-137-697-1-1855,12,,,,,,,,312,Accounts payable,account,,,,debit,3766486,ISO4217:JPY,2009-06-30,09年6月30日伝票No162小藤丸株式会社,,,
0001-20090630-137-697-1-1855,12,,,,,,,,,,,,,,,,,,,5,小藤丸㈱,trading partner
0001-20090630-137-697-1-1855,12,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-137-697-1-1855,13,,,,,,,,301,Bills payable,account,,,,credit,3766486,ISO4217:JPY,2009-06-30,09年6月30日伝票No162小藤丸株式会社,,,
0001-20090630-137-697-1-1855,13,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-138-698-1-1857,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090630-138-698-1-1857,1,,,,,,,,312,Accounts payable,account,,,,debit,3567096,ISO4217:JPY,2009-06-30,09年6月30日伝票No163株式会社　サンセット,,,
0001-20090630-138-698-1-1857,1,,,,,,,,,,,,,,,,,,,7,㈱ｻﾝｾｯﾄ,trading partner
0001-20090630-138-698-1-1857,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-138-698-1-1857,2,,,,,,,,131,Ordinary deposit,account,,,,credit,3567096,ISO4217:JPY,2009-06-30,09年6月30日伝票No163株式会社　サンセット,,,
0001-20090630-138-698-1-1857,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-138-698-1-1857,2,2,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-139-699-1-1859,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090630-139-699-1-1859,1,,,,,,,,312,Accounts payable,account,,,,debit,1784949,ISO4217:JPY,2009-06-30,09年6月30日伝票No164斉藤産業株式会社,,,
0001-20090630-139-699-1-1859,1,,,,,,,,,,,,,,,,,,,9,斉藤産業㈱,trading partner
0001-20090630-139-699-1-1859,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-139-699-1-1859,2,,,,,,,,301,Bills payable,account,,,,credit,1784949,ISO4217:JPY,2009-06-30,09年6月30日伝票No164斉藤産業株式会社,,,
0001-20090630-139-699-1-1859,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-140-700-1-1861,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090630-140-700-1-1861,1,,,,,,,,312,Accounts payable,account,,,,debit,3086761,ISO4217:JPY,2009-06-30,09年6月30日伝票No165鈴木販売株式会社,,,
0001-20090630-140-700-1-1861,1,,,,,,,,,,,,,,,,,,,10,鈴木販売㈱,trading partner
0001-20090630-140-700-1-1861,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-140-700-1-1861,2,,,,,,,,301,Bills payable,account,,,,credit,3086761,ISO4217:JPY,2009-06-30,09年6月30日伝票No165鈴木販売株式会社,,,
0001-20090630-140-700-1-1861,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-141-701-1-1863,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090630-141-701-1-1863,1,,,,,,,,312,Accounts payable,account,,,,debit,330220,ISO4217:JPY,2009-06-30,09年6月30日伝票No166株式会社　有江,,,
0001-20090630-141-701-1-1863,1,,,,,,,,,,,,,,,,,,,12,㈱有江,trading partner
0001-20090630-141-701-1-1863,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-141-701-1-1863,2,,,,,,,,131,Ordinary deposit,account,,,,credit,330220,ISO4217:JPY,2009-06-30,09年6月30日伝票No166株式会社　有江,,,
0001-20090630-141-701-1-1863,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-141-701-1-1863,2,2,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-142-702-1-1865,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090630-142-702-1-1865,1,,,,,,,,312,Accounts payable,account,,,,debit,1263652,ISO4217:JPY,2009-06-30,09年6月30日伝票No167ナカムラ産業株式会社,,,
0001-20090630-142-702-1-1865,1,,,,,,,,,,,,,,,,,,,13,ﾅｶﾑﾗ産業㈱,trading partner
0001-20090630-142-702-1-1865,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-142-702-1-1865,2,,,,,,,,131,Ordinary deposit,account,,,,credit,1263652,ISO4217:JPY,2009-06-30,09年6月30日伝票No167ナカムラ産業株式会社,,,
0001-20090630-142-702-1-1865,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-142-702-1-1865,2,2,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-143-703-1-1867,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090630-143-703-1-1867,1,,,,,,,,312,Accounts payable,account,,,,debit,2895984,ISO4217:JPY,2009-06-30,09年6月30日伝票No168合同会社　ウェスト,,,
0001-20090630-143-703-1-1867,1,,,,,,,,,,,,,,,,,,,14,(同)ｳｪｽﾄ,trading partner
0001-20090630-143-703-1-1867,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-143-703-1-1867,2,,,,,,,,131,Ordinary deposit,account,,,,credit,2895984,ISO4217:JPY,2009-06-30,09年6月30日伝票No168合同会社　ウェスト,,,
0001-20090630-143-703-1-1867,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-143-703-1-1867,2,2,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-144-704-1-1869,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090630-144-704-1-1869,1,,,,,,,,312,Accounts payable,account,,,,debit,1154355,ISO4217:JPY,2009-06-30,09年6月30日伝票No169株式会社　はなまる商事,,,
0001-20090630-144-704-1-1869,1,,,,,,,,,,,,,,,,,,,15,㈱はなまる商事,trading partner
0001-20090630-144-704-1-1869,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-144-704-1-1869,2,,,,,,,,131,Ordinary deposit,account,,,,credit,1154355,ISO4217:JPY,2009-06-30,09年6月30日伝票No169株式会社　はなまる商事,,,
0001-20090630-144-704-1-1869,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-144-704-1-1869,2,2,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-144-704-1-1869,3,,,,,,,,121,Checking account,account,,,,debit,7862107,ISO4217:JPY,2009-06-30,手形満期　かめだデパート,,,
0001-20090630-144-704-1-1869,3,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-144-704-1-1869,3,2,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-144-704-1-1869,4,,,,,,,,150,Bills recivable,account,,,,credit,7862107,ISO4217:JPY,2009-06-30,手形満期　かめだデパート,,,
0001-20090630-144-704-1-1869,4,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-145-705-1-1871,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090630-145-705-1-1871,1,,,,,,,,731,Fare,account,,,,debit,135667,ISO4217:JPY,2009-06-30,Fare,,,
0001-20090630-145-705-1-1871,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-145-705-1-1871,2,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,6783,ISO4217:JPY,2009-06-30,,,,
0001-20090630-145-705-1-1871,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-145-705-1-1871,3,,,,,,,,322,Credit card accounts payable,account,,,,credit,142450,ISO4217:JPY,2009-06-30,運賃,,,
0001-20090630-145-705-1-1871,3,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-145-705-1-1871,4,,,,,,,,121,Checking account,account,,,,debit,13932999,ISO4217:JPY,2009-06-30,手形満期　今井百貨店,,,
0001-20090630-145-705-1-1871,4,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-145-705-1-1871,4,2,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-145-705-1-1871,5,,,,,,,,150,Bills recivable,account,,,,credit,13932999,ISO4217:JPY,2009-06-30,手形満期　今井百貨店,,,
0001-20090630-145-705-1-1871,5,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-146-706-1-1873,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090630-146-706-1-1873,1,,,,,,,,301,Bills payable,account,,,,debit,4161432,ISO4217:JPY,2009-06-30,手形期日落日　小藤丸,,,
0001-20090630-146-706-1-1873,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-146-706-1-1873,2,,,,,,,,121,Checking account,account,,,,credit,4161432,ISO4217:JPY,2009-06-30,手形期日落日　小藤丸,,,
0001-20090630-146-706-1-1873,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-146-706-1-1873,2,2,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-146-706-1-1873,3,,,,,,,,301,Bills payable,account,,,,debit,1798460,ISO4217:JPY,2009-06-30,手形期日落日　斉藤産業,,,
0001-20090630-146-706-1-1873,3,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-146-706-1-1873,4,,,,,,,,121,Checking account,account,,,,credit,1798460,ISO4217:JPY,2009-06-30,手形期日落日　斉藤産業,,,
0001-20090630-146-706-1-1873,4,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-146-706-1-1873,4,2,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-146-706-1-1873,5,,,,,,,,301,Bills payable,account,,,,debit,3129144,ISO4217:JPY,2009-06-30,手形期日落日　鈴木販売,,,
0001-20090630-146-706-1-1873,5,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-146-706-1-1873,6,,,,,,,,121,Checking account,account,,,,credit,3129144,ISO4217:JPY,2009-06-30,手形期日落日　鈴木販売,,,
0001-20090630-146-706-1-1873,6,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-146-706-1-1873,6,2,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-151-707-1-1875,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090630-151-707-1-1875,1,,,,,,,,131,Ordinary deposit,account,,,,debit,40000,ISO4217:JPY,2009-06-30,貸付金返済,,,
0001-20090630-151-707-1-1875,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-151-707-1-1875,1,2,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-151-707-1-1875,2,,,,,,,,183,Short-term loans receivables,account,,,,credit,40000,ISO4217:JPY,2009-06-30,貸付金返済,,,
0001-20090630-151-707-1-1875,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-152-708-1-1877,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090630-152-708-1-1877,1,,,,,,,,148,Fixed deposit,account,,,,debit,500000,ISO4217:JPY,2009-06-30,定期積立金,,,
0001-20090630-152-708-1-1877,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-152-708-1-1877,2,,,,,,,,131,Ordinary deposit,account,,,,credit,625000,ISO4217:JPY,2009-06-30,定期積立金,,,
0001-20090630-152-708-1-1877,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-152-708-1-1877,2,2,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-152-708-1-1877,3,,,,,,,,248,Insurance reserve fund,account,,,,debit,125000,ISO4217:JPY,2009-06-30,Insurance reserve fund,,,
0001-20090630-152-708-1-1877,3,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-153-709-1-1879,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090630-153-709-1-1879,1,,,,,,,,321,Short-term borrowing,account,,,,debit,653500,ISO4217:JPY,2009-06-30,借入金返済,,,
0001-20090630-153-709-1-1879,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-153-709-1-1879,2,,,,,,,,121,Checking account,account,,,,credit,686175,ISO4217:JPY,2009-06-30,借入金返済,,,
0001-20090630-153-709-1-1879,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-153-709-1-1879,2,2,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-153-709-1-1879,3,,,,,,,,821,Interest expense,account,,,,debit,32675,ISO4217:JPY,2009-06-30,利息,,,
0001-20090630-153-709-1-1879,3,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-36-663-1-1787,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090630-36-663-1-1787,1,,,,,,,,731,Fare,account,,,,debit,1637000,ISO4217:JPY,2009-06-30,Fare　ヤマト運輸,,,
0001-20090630-36-663-1-1787,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-36-663-1-1787,2,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,81850,ISO4217:JPY,2009-06-30,,,,
0001-20090630-36-663-1-1787,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-36-663-1-1787,3,,,,,,,,322,Credit card accounts payable,account,,,,credit,2564880,ISO4217:JPY,2009-06-30,運賃　ヤマト運輸,,,
0001-20090630-36-663-1-1787,3,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-36-663-1-1787,4,,,,,,,,731,Fare,account,,,,debit,805743,ISO4217:JPY,2009-06-30,Fare　佐川急便,,,
0001-20090630-36-663-1-1787,4,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-36-663-1-1787,5,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,40287,ISO4217:JPY,2009-06-30,,,,
0001-20090630-36-663-1-1787,5,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-40-664-1-1789,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090630-40-664-1-1789,1,,,,,,,,732,Advertising expense,account,,,,debit,47620,ISO4217:JPY,2009-06-30,広告掲載,,,
0001-20090630-40-664-1-1789,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-40-664-1-1789,2,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,2380,ISO4217:JPY,2009-06-30,,,,
0001-20090630-40-664-1-1789,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-40-664-1-1789,3,,,,,,,,322,Credit card accounts payable,account,,,,credit,50000,ISO4217:JPY,2009-06-30,広告掲載,,,
0001-20090630-40-664-1-1789,3,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-49-665-1-1791,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090630-49-665-1-1791,1,,,,,,,,740,Vehicle costs,account,,,,debit,114286,ISO4217:JPY,2009-06-30,ガソリン代,,,
0001-20090630-49-665-1-1791,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-49-665-1-1791,2,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,5714,ISO4217:JPY,2009-06-30,,,,
0001-20090630-49-665-1-1791,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-49-665-1-1791,3,,,,,,,,131,Ordinary deposit,account,,,,credit,120000,ISO4217:JPY,2009-06-30,ガソリン代,,,
0001-20090630-49-665-1-1791,3,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-49-665-1-1791,3,2,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-63-666-1-1793,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090630-63-666-1-1793,1,,,,,,,,752,Insurance fee,account,,,,debit,81000,ISO4217:JPY,2009-06-30,Insurance fee,,,
0001-20090630-63-666-1-1793,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-63-666-1-1793,2,,,,,,,,131,Ordinary deposit,account,,,,credit,81000,ISO4217:JPY,2009-06-30,保険料,,,
0001-20090630-63-666-1-1793,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-63-666-1-1793,2,2,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-67-667-1-1795,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090630-67-667-1-1795,1,,,,,,,,742,Dues,account,,,,debit,30000,ISO4217:JPY,2009-06-30,会費支払い,,,
0001-20090630-67-667-1-1795,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-67-667-1-1795,2,,,,,,,,111,Cash,account,,,,credit,30000,ISO4217:JPY,2009-06-30,会費支払い,,,
0001-20090630-67-667-1-1795,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-70-668-1-1797,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090630-70-668-1-1797,1,,,,,,,,791,Miscellaneous expenses,account,,,,debit,6000,ISO4217:JPY,2009-06-30,有線,,,
0001-20090630-70-668-1-1797,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-70-668-1-1797,2,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,300,ISO4217:JPY,2009-06-30,,,,
0001-20090630-70-668-1-1797,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-70-668-1-1797,3,,,,,,,,322,Credit card accounts payable,account,,,,credit,61300,ISO4217:JPY,2009-06-30,有線,,,
0001-20090630-70-668-1-1797,3,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-70-668-1-1797,4,,,,,,,,791,Miscellaneous expenses,account,,,,debit,52381,ISO4217:JPY,2009-06-30,警備料,,,
0001-20090630-70-668-1-1797,4,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-70-668-1-1797,5,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,2619,ISO4217:JPY,2009-06-30,,,,
0001-20090630-70-668-1-1797,5,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-70-668-1-1797,6,,,,,,,,740,Vehicle costs,account,,,,debit,60334,ISO4217:JPY,2009-06-30,高速料,,,
0001-20090630-70-668-1-1797,6,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-70-668-1-1797,7,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,3016,ISO4217:JPY,2009-06-30,,,,
0001-20090630-70-668-1-1797,7,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-70-668-1-1797,8,,,,,,,,131,Ordinary deposit,account,,,,credit,63350,ISO4217:JPY,2009-06-30,高速料,,,
0001-20090630-70-668-1-1797,8,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-70-668-1-1797,8,2,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-70-668-1-1797,9,,,,,,,,791,Miscellaneous expenses,account,,,,debit,70000,ISO4217:JPY,2009-06-30,清掃料,,,
0001-20090630-70-668-1-1797,9,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-70-668-1-1797,10,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,3500,ISO4217:JPY,2009-06-30,,,,
0001-20090630-70-668-1-1797,10,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-70-668-1-1797,11,,,,,,,,322,Credit card accounts payable,account,,,,credit,73500,ISO4217:JPY,2009-06-30,清掃料,,,
0001-20090630-70-668-1-1797,11,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-77-669-1-1799,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090630-77-669-1-1799,1,,,,,,,,731,Fare,account,,,,debit,142158,ISO4217:JPY,2009-06-30,Fare,,,
0001-20090630-77-669-1-1799,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-77-669-1-1799,2,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,7107,ISO4217:JPY,2009-06-30,,,,
0001-20090630-77-669-1-1799,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-77-669-1-1799,3,,,,,,,,322,Credit card accounts payable,account,,,,credit,149265,ISO4217:JPY,2009-06-30,運賃,,,
0001-20090630-77-669-1-1799,3,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-79-670-1-1801,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090630-79-670-1-1801,1,,,,,,,,752,Insurance fee,account,,,,debit,62000,ISO4217:JPY,2009-06-30,Insurance fee,,,
0001-20090630-79-670-1-1801,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-79-670-1-1801,2,,,,,,,,131,Ordinary deposit,account,,,,credit,62000,ISO4217:JPY,2009-06-30,保険料,,,
0001-20090630-79-670-1-1801,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-79-670-1-1801,2,2,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-80-671-1-1803,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090630-80-671-1-1803,1,,,,,,,,752,Insurance fee,account,,,,debit,57000,ISO4217:JPY,2009-06-30,Insurance fee支払い,,,
0001-20090630-80-671-1-1803,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-80-671-1-1803,2,,,,,,,,131,Ordinary deposit,account,,,,credit,57000,ISO4217:JPY,2009-06-30,保険料支払い,,,
0001-20090630-80-671-1-1803,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-80-671-1-1803,2,2,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-82-672-1-1805,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090630-82-672-1-1805,1,,,,,,,,737,Supplies expense,account,,,,credit,258572,ISO4217:JPY,2009-06-30,Supplies expense　Department配賦,,,
0001-20090630-82-672-1-1805,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-82-672-1-1805,2,,,,,,,,737,Supplies expense,account,,,,debit,28442,ISO4217:JPY,2009-06-30,,,,
0001-20090630-82-672-1-1805,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090630-82-672-1-1805,3,,,,,,,,737,Supplies expense,account,,,,debit,124116,ISO4217:JPY,2009-06-30,,,,
0001-20090630-82-672-1-1805,3,1,,,,,,,,,,,,,,,,,,,,account sub
